date,변수X,전체평균
2022-01-01,67432726.44,52695255.29
2022-01-02,66842606.27,48936319.28
2022-01-03,50872176.8,36191108.29
2022-01-04,45672758.5,27158051.89
2022-01-05,47177577.07,30094940.4
2022-01-06,45471374.42,29689037.83
2022-01-07,58638670.81,44177389.14
2022-01-08,65958057.77,43952719.86
2022-01-09,66359439.16,44386204.7
2022-01-10,50483084.18,33598335.99
2022-01-11,45035919.5,25403485.19
2022-01-12,47491594.87,28088413.91
2022-01-13,45578615.5,27600212.61
2022-01-14,59159210.87,41401982.98
2022-01-15,66013315.13,41445134.31
2022-01-16,66341317.85,41948147.05
2022-01-17,50470920.76,31599343.92
2022-01-18,45046478.61,23726616.24
2022-01-19,47429942.88,26314228.91
2022-01-20,45533785.43,25848191.67
2022-01-21,59072859.05,39137120.09
2022-01-22,65955776.9,39190031.77
2022-01-23,66288933.47,39682368.92
2022-01-24,50430948.1,29728056.8
2022-01-25,45009220.43,22156092.6
2022-01-26,47396087.81,24652996.22
2022-01-27,45500223.46,24210419.19
2022-01-28,59031399.86,37008702.82
2022-01-29,65906615.91,37065832.08
2022-01-30,66239122.06,37546015.03
2022-01-31,50393061.69,27970490.52
2022-02-01,44975524.02,20687513.85
2022-02-02,47360207.19,23096821.53
2022-02-03,45465856.45,22676531.65
2022-02-04,58986658.66,35002228.4
2022-02-05,65856876.03,35062967.22
2022-02-06,66189160.95,35531054.55
2022-02-07,50355051.88,26319744.04
2022-02-08,44941591.84,19314599.76
2022-02-09,47324505.23,21639253.97
2022-02-10,45431576.73,21240084.18
2022-02-11,58942196.08,33110522.22
2022-02-12,65807219.18,33174371.64
2022-02-13,66139251.36,33630444.07
2022-02-14,50317081.96,24769327.98
2022-02-15,44907704.54,18031276.48
2022-02-16,47288818.98,20274102.71
2022-02-17,45397318.32,19894923.41
2022-02-18,58897748.93,31326777.17
2022-02-19,65757596.41,31393273.53
2022-02-20,66089378.38,31837424.98
2022-02-21,50279139.85,23313026.32
2022-02-22,44873841.38,16831744.21
2022-02-23,47253160.47,18995475.94
2022-02-24,45363086.07,18635213.57
2022-02-25,58853336.63,29644548.22
2022-02-26,65708011.31,29713264.02
2022-02-27,66039543.08,30145604.27
2022-02-28,50241226.4,21944971.73
2022-03-01,44840003.85,15710539.91
2022-03-02,47217528.78,17797825.8
2022-03-03,45328879.62,17455464.44
2022-03-04,58808957.73,28057762.41
2022-03-05,65658463.58,28128306.34
2022-03-06,65989745.36,28548961.96
2022-03-07,50203341.55,20659651.44
2022-03-08,44806191.84,14662541.46
2022-03-09,47181923.97,16675950.03
2022-03-10,45294698.96,16350530.75
2022-03-11,58764612.29,26560714.81
2022-03-12,65608953.21,26632730.24
2022-03-13,65939985.18,27041843.55
2022-03-14,50165485.26,19451898.71
2022-03-15,44772405.32,13682957.89
2022-03-16,47146346.01,15624980.3
2022-03-17,45260544.08,15315598.75
2022-03-18,58720300.3,25148052.74
2022-03-19,65559480.17,25221215.49
2022-03-20,65890262.53,25618943.11
2022-03-21,50127657.51,18316876.05
2022-03-22,44738644.27,12767312.56
2022-03-23,47110794.87,14640364.71
2022-03-24,45226414.95,14346168.28
2022-03-25,58676021.71,23814756.46
2022-03-26,65510044.45,23888772.47
2022-03-27,65840577.37,24275283.61
2022-03-28,50089858.29,17250056.09
2022-03-29,44704908.69,11911424.4
2022-03-30,47075270.54,13717848.72
2022-03-31,45192311.55,13438033.58
2022-04-01,58631776.52,22556118.96
2022-04-02,65460646,22630722.06
2022-04-03,65790929.68,23006196.91
2022-04-04,50052087.57,16247202.2
2022-04-05,44671198.54,11111388.99
2022-04-06,47039773,12853456.09
2022-04-07,45158233.88,12587264.32
2022-04-08,58587564.69,21367726.32
2022-04-09,65411284.79,21442676.05
2022-04-10,65741319.43,21807304.16
2022-04-11,50014345.33,15304349.64
2022-04-12,44637513.81,10363560.26
2022-04-13,47004302.23,12043470.65
2022-04-14,45124181.9,11790187.43
2022-04-15,58543386.2,20245438.92
2022-04-16,65361960.81,20320518.49
2022-04-17,65691746.58,20674497.36
2022-04-18,49976631.56,14417787.84
2022-04-19,44603854.48,9664533.401
2022-04-20,46968858.2,11284419.01
2022-04-21,45090155.59,11043370.02
