지점,지점명,일시,평균기온(°C),평균 상대습도(%)
133,대전,2021-01-01,-4.6,88.8
133,대전,2021-01-02,-3.5,67.5
133,대전,2021-01-03,-4.1,63.8
133,대전,2021-01-04,-2.8,67.6
133,대전,2021-01-05,-2.8,61.1
133,대전,2021-01-06,-5.3,66.5
133,대전,2021-01-07,-11.2,57.8
133,대전,2021-01-08,-13.5,57.8
133,대전,2021-01-09,-11.4,65.5
133,대전,2021-01-10,-8,63.6
133,대전,2021-01-11,-6,70.8
133,대전,2021-01-12,-1.4,77.6
133,대전,2021-01-13,3.7,81
133,대전,2021-01-14,3.3,58.1
133,대전,2021-01-15,6.1,69.5
133,대전,2021-01-16,-1.1,58.6
133,대전,2021-01-17,-3.3,61.9
133,대전,2021-01-18,-1.5,74.6
133,대전,2021-01-19,-4.8,45.6
133,대전,2021-01-20,-.6,52.4
133,대전,2021-01-21,4.9,72.8
133,대전,2021-01-22,7.4,94.6
133,대전,2021-01-23,8,82.4
133,대전,2021-01-24,8.2,66.6
133,대전,2021-01-25,8.3,64.5
133,대전,2021-01-26,6.2,84.1
133,대전,2021-01-27,2.9,52.3
133,대전,2021-01-28,-1.6,66
133,대전,2021-01-29,-6,55.4
133,대전,2021-01-30,.2,61
133,대전,2021-01-31,3.8,63.3
133,대전,2021-02-01,7.3,82
133,대전,2021-02-02,-2.4,46.9
133,대전,2021-02-03,-1.4,56
133,대전,2021-02-04,-.5,49.3
133,대전,2021-02-05,1.2,54.3
133,대전,2021-02-06,6,78.6
133,대전,2021-02-07,5.8,65.5
133,대전,2021-02-08,-1.7,46.8
133,대전,2021-02-09,0,51.8
133,대전,2021-02-10,2.6,68.9
133,대전,2021-02-11,5.3,68
133,대전,2021-02-12,6.9,56
133,대전,2021-02-13,7.6,47.8
133,대전,2021-02-14,9.1,66
133,대전,2021-02-15,3,65.6
133,대전,2021-02-16,-2.7,66.8
133,대전,2021-02-17,-6.1,56.1
133,대전,2021-02-18,-4.3,61.6
133,대전,2021-02-19,2.6,66.3
133,대전,2021-02-20,11.2,64.9
133,대전,2021-02-21,14.3,53.3
133,대전,2021-02-22,11.7,46.9
133,대전,2021-02-23,1.9,38.3
133,대전,2021-02-24,4.5,34.3
133,대전,2021-02-25,4.7,59
133,대전,2021-02-26,8.9,49.8
133,대전,2021-02-27,8.7,52.5
133,대전,2021-02-28,7.4,69.6
133,대전,2021-03-01,8.2,95.3
133,대전,2021-03-02,3,81
133,대전,2021-03-03,4.3,67.4
133,대전,2021-03-04,5.7,79.5
133,대전,2021-03-05,8.5,75.8
133,대전,2021-03-06,7.5,74.5
133,대전,2021-03-07,6.7,71.5
133,대전,2021-03-08,8,65
133,대전,2021-03-09,7.5,58.3
133,대전,2021-03-10,9.6,50.9
133,대전,2021-03-11,11,49.1
133,대전,2021-03-12,8.3,88
133,대전,2021-03-13,9,75.1
133,대전,2021-03-14,9.4,72
133,대전,2021-03-15,11.8,64
133,대전,2021-03-16,11.1,50.4
133,대전,2021-03-17,10,49.3
133,대전,2021-03-18,12.5,55.5
133,대전,2021-03-19,13.7,55.9
133,대전,2021-03-20,9,87.9
133,대전,2021-03-21,6.4,67.3
133,대전,2021-03-22,7.1,51.5
133,대전,2021-03-23,9.9,63.1
133,대전,2021-03-24,10.8,53.5
133,대전,2021-03-25,13,58.3
133,대전,2021-03-26,14.4,50.3
133,대전,2021-03-27,12.2,78
133,대전,2021-03-28,10.3,94.4
133,대전,2021-03-29,12.2,56.9
133,대전,2021-03-30,12.6,39.3
133,대전,2021-03-31,14.3,38.6
133,대전,2021-04-01,15.8,41
