지점,지점명,일시,평균기온(°C),평균 상대습도(%)
165,목포,2021-01-01,1.3,68.5
165,목포,2021-01-02,.4,69.8
165,목포,2021-01-03,-.3,60.4
165,목포,2021-01-04,2.5,61
165,목포,2021-01-05,.7,71.8
165,목포,2021-01-06,-2.3,77.3
165,목포,2021-01-07,-7.5,80
165,목포,2021-01-08,-9.9,75.9
165,목포,2021-01-09,-7.4,70.3
165,목포,2021-01-10,-3.3,73.5
165,목포,2021-01-11,-1.5,70.3
165,목포,2021-01-12,1,71
165,목포,2021-01-13,6.2,66.8
165,목포,2021-01-14,6.6,78.5
165,목포,2021-01-15,9.3,79
165,목포,2021-01-16,.8,63.1
165,목포,2021-01-17,-1.4,74.8
165,목포,2021-01-18,2.6,63
165,목포,2021-01-19,-1.5,51.5
165,목포,2021-01-20,5.2,54.1
165,목포,2021-01-21,8.9,79.5
165,목포,2021-01-22,7.7,95.6
165,목포,2021-01-23,6.8,97.3
165,목포,2021-01-24,8.3,81.8
165,목포,2021-01-25,8,69.1
165,목포,2021-01-26,6.4,86.1
165,목포,2021-01-27,3.9,60.3
165,목포,2021-01-28,1.1,73
165,목포,2021-01-29,-2.2,69.6
165,목포,2021-01-30,3.2,75.4
165,목포,2021-01-31,7.3,79
165,목포,2021-02-01,8.5,86
165,목포,2021-02-02,-1,60.4
165,목포,2021-02-03,1.1,62.1
165,목포,2021-02-04,1.2,63.5
165,목포,2021-02-05,2.8,48
165,목포,2021-02-06,6.8,75
165,목포,2021-02-07,6.2,78.6
165,목포,2021-02-08,.4,57.4
165,목포,2021-02-09,1.1,61.3
165,목포,2021-02-10,3.6,67.6
165,목포,2021-02-11,5.3,79.4
165,목포,2021-02-12,7.2,65.8
165,목포,2021-02-13,6.8,75
165,목포,2021-02-14,8.8,69
165,목포,2021-02-15,3.5,74.6
165,목포,2021-02-16,1.1,64.3
165,목포,2021-02-17,-3.3,74.3
165,목포,2021-02-18,-1.2,76.6
165,목포,2021-02-19,5.2,69.1
165,목포,2021-02-20,11,74.9
165,목포,2021-02-21,14.5,59.8
165,목포,2021-02-22,8.8,84.3
165,목포,2021-02-23,2.2,61.1
165,목포,2021-02-24,2.9,59.9
165,목포,2021-02-25,5.6,84.5
165,목포,2021-02-26,8.6,74
165,목포,2021-02-27,9.3,49.1
165,목포,2021-02-28,9.8,68.3
165,목포,2021-03-01,10.7,93.3
165,목포,2021-03-02,3.8,77.8
165,목포,2021-03-03,5.7,68.6
165,목포,2021-03-04,7.4,83.8
165,목포,2021-03-05,8.1,83.3
165,목포,2021-03-06,6.3,92.3
165,목포,2021-03-07,7.4,81.4
165,목포,2021-03-08,6.8,78.4
165,목포,2021-03-09,6.6,66.9
165,목포,2021-03-10,8.1,69.3
165,목포,2021-03-11,10.3,72.3
165,목포,2021-03-12,8.6,91.6
165,목포,2021-03-13,8.3,84.5
165,목포,2021-03-14,8.1,85.4
165,목포,2021-03-15,11.7,76.1
