지점,지점명,일시,평균기온(°C),평균 상대습도(%)
140,군산,2021-01-01,-2.3,81.9
140,군산,2021-01-02,-1.7,65.6
140,군산,2021-01-03,-2.6,59
140,군산,2021-01-04,-1,64.8
140,군산,2021-01-05,-1.8,64.3
140,군산,2021-01-06,-4.1,68.3
140,군산,2021-01-07,-10,64.9
140,군산,2021-01-08,-12.9,67.1
140,군산,2021-01-09,-10.2,57.3
140,군산,2021-01-10,-6.6,64.5
140,군산,2021-01-11,-4.4,61.8
140,군산,2021-01-12,-2.1,84
140,군산,2021-01-13,4.9,74.6
140,군산,2021-01-14,3.6,53.9
140,군산,2021-01-15,6.2,79.1
140,군산,2021-01-16,-1.2,64.6
140,군산,2021-01-17,-1.9,59.4
140,군산,2021-01-18,.2,74.3
140,군산,2021-01-19,-4.3,54.3
140,군산,2021-01-20,1.6,46
140,군산,2021-01-21,5.9,75
140,군산,2021-01-22,7.4,95.3
140,군산,2021-01-23,9.5,78
140,군산,2021-01-24,8.5,65.8
140,군산,2021-01-25,7.4,70.9
140,군산,2021-01-26,5,92.3
140,군산,2021-01-27,3.7,52.1
140,군산,2021-01-28,-.4,62.1
140,군산,2021-01-29,-4.4,63.5
140,군산,2021-01-30,1.7,76.8
140,군산,2021-01-31,5.7,71.4
140,군산,2021-02-01,7.2,88.3
140,군산,2021-02-02,-1.8,49.9
140,군산,2021-02-03,-.8,67.3
140,군산,2021-02-04,.7,56.1
140,군산,2021-02-05,2,56.6
140,군산,2021-02-06,6.5,77
140,군산,2021-02-07,4.6,81.1
140,군산,2021-02-08,-.9,52.6
140,군산,2021-02-09,-.4,62.6
140,군산,2021-02-10,2.3,74.8
140,군산,2021-02-11,4.3,85.6
140,군산,2021-02-12,4.9,85
140,군산,2021-02-13,5.4,79.3
140,군산,2021-02-14,8.3,73.4
140,군산,2021-02-15,2.6,72.9
140,군산,2021-02-16,-1.3,67
140,군산,2021-02-17,-5.2,70
140,군산,2021-02-18,-2.9,61
140,군산,2021-02-19,3.1,70.9
140,군산,2021-02-20,9.9,75.6
140,군산,2021-02-21,13.8,54.3
140,군산,2021-02-22,8.2,72
140,군산,2021-02-23,1.8,48.1
140,군산,2021-02-24,3,55.8
140,군산,2021-02-25,3.8,74.6
140,군산,2021-02-26,10,48.1
140,군산,2021-02-27,9.8,47.1
140,군산,2021-02-28,7.9,64.3
140,군산,2021-03-01,9.9,93.8
140,군산,2021-03-02,3.7,79
140,군산,2021-03-03,4.2,70.6
140,군산,2021-03-04,6.7,76.4
140,군산,2021-03-05,8.5,76.4
140,군산,2021-03-06,6.7,86.1
140,군산,2021-03-07,6.9,76.6
140,군산,2021-03-08,5.8,83.6
140,군산,2021-03-09,6.1,72
140,군산,2021-03-10,6.7,71.3
140,군산,2021-03-11,9.2,73.3
140,군산,2021-03-12,8.7,84.8
140,군산,2021-03-13,8.2,80.9
140,군산,2021-03-14,6.3,93.1
140,군산,2021-03-15,9.8,76.5
140,군산,2021-03-16,8.5,67.9
140,군산,2021-03-17,6.3,67.3
140,군산,2021-03-18,8.4,67.6
140,군산,2021-03-19,11,69.1
140,군산,2021-03-20,8.4,88.3
140,군산,2021-03-21,6.2,70.3
140,군산,2021-03-22,6.8,66.1
140,군산,2021-03-23,9,72.8
140,군산,2021-03-24,10.5,62.5
140,군산,2021-03-25,9.2,84
140,군산,2021-03-26,10.4,72.9
140,군산,2021-03-27,13.4,80.4
140,군산,2021-03-28,9.4,94.4
140,군산,2021-03-29,10.1,80.4
140,군산,2021-03-30,11.3,56
140,군산,2021-03-31,12.4,51.1
140,군산,2021-04-01,16.3,40.5
140,군산,2021-04-02,17.9,45.9
140,군산,2021-04-03,15.9,83.6
140,군산,2021-04-04,11.1,87
140,군산,2021-04-05,11,58.4
140,군산,2021-04-06,10.7,65.8
140,군산,2021-04-07,11.7,68.4
140,군산,2021-04-08,10.9,64.8
140,군산,2021-04-09,11.6,51.4
140,군산,2021-04-10,11.8,66.5
140,군산,2021-04-11,13.7,66.8
140,군산,2021-04-12,13.3,78.4
140,군산,2021-04-13,9.1,81
140,군산,2021-04-14,8.1,64.1
140,군산,2021-04-15,9.9,65.3
140,군산,2021-04-16,11.2,78.6
140,군산,2021-04-17,10.3,64
140,군산,2021-04-18,9.9,67.8
140,군산,2021-04-19,11.3,67.1
140,군산,2021-04-20,12.9,65
140,군산,2021-04-21,16.3,52.6
140,군산,2021-04-22,20,42
140,군산,2021-04-23,20.4,36.8
140,군산,2021-04-24,17.4,44
140,군산,2021-04-25,16.4,67.1
140,군산,2021-04-26,15.2,64.8
140,군산,2021-04-27,15,65.6
140,군산,2021-04-28,14.6,82.8
140,군산,2021-04-29,14.3,72
140,군산,2021-04-30,11.6,77.6
140,군산,2021-05-01,10.7,76.8
140,군산,2021-05-02,11.9,71.6
140,군산,2021-05-03,13.1,73
140,군산,2021-05-04,17,77.9
140,군산,2021-05-05,13.2,71.5
140,군산,2021-05-06,15.1,51.4
140,군산,2021-05-07,15.1,56.9
140,군산,2021-05-08,14.9,62.1
140,군산,2021-05-09,14.6,61.4
140,군산,2021-05-10,12.8,77.5
140,군산,2021-05-11,15.7,79.9
140,군산,2021-05-12,20,53.6
140,군산,2021-05-13,18.9,74.1
140,군산,2021-05-14,19.9,74.9
140,군산,2021-05-15,21.5,88.9
140,군산,2021-05-16,19.8,99
140,군산,2021-05-17,15,94.1
140,군산,2021-05-18,17,82.5
140,군산,2021-05-19,18.8,73.4
140,군산,2021-05-20,16.7,86.3
140,군산,2021-05-21,15.3,86.3
140,군산,2021-05-22,17,80.3
140,군산,2021-05-23,19.3,74.6
140,군산,2021-05-24,17.6,76.6
140,군산,2021-05-25,15.8,79.4
140,군산,2021-05-26,18.3,62
140,군산,2021-05-27,15.8,85.5
140,군산,2021-05-28,16.6,84.9
140,군산,2021-05-29,18,67
140,군산,2021-05-30,19.9,67.1
140,군산,2021-05-31,20.3,59.5
140,군산,2021-06-01,21.3,60.9
140,군산,2021-06-02,23.6,60.1
140,군산,2021-06-03,18.7,90
140,군산,2021-06-04,18.1,76.3
140,군산,2021-06-05,20.3,76.3
140,군산,2021-06-06,22.1,67.6
140,군산,2021-06-07,22.2,64.1
140,군산,2021-06-08,23.1,77.5
140,군산,2021-06-09,25,73.5
140,군산,2021-06-10,24.6,67.8
140,군산,2021-06-11,21.7,90.8
140,군산,2021-06-12,22.8,82.4
140,군산,2021-06-13,19.2,94.5
140,군산,2021-06-14,20.1,92.3
140,군산,2021-06-15,21,90.3
140,군산,2021-06-16,24.1,65.4
140,군산,2021-06-17,21.3,82.9
140,군산,2021-06-18,20.8,93.9
140,군산,2021-06-19,21,87.6
140,군산,2021-06-20,23.5,72.5
140,군산,2021-06-21,22.3,78.8
140,군산,2021-06-22,22,77.4
140,군산,2021-06-23,22.2,83.5
140,군산,2021-06-24,21.7,86.5
140,군산,2021-06-25,23.2,79.3
140,군산,2021-06-26,23.6,78.1
140,군산,2021-06-27,24.3,77.1
140,군산,2021-06-28,23.4,84.6
140,군산,2021-06-29,23.2,88
140,군산,2021-06-30,23.9,83.8
140,군산,2021-07-01,25.7,82.4
140,군산,2021-07-02,26,82.3
140,군산,2021-07-03,23.3,91.8
140,군산,2021-07-04,22.1,97.1
140,군산,2021-07-05,21.7,95.6
140,군산,2021-07-06,22.9,98.5
140,군산,2021-07-07,25.1,97.1
140,군산,2021-07-08,23.8,96.6
140,군산,2021-07-09,25,89.4
140,군산,2021-07-10,26.2,86.3
140,군산,2021-07-11,25.9,91.3
140,군산,2021-07-12,27.2,88.5
140,군산,2021-07-13,28.3,76.6
140,군산,2021-07-14,28.5,77.8
140,군산,2021-07-15,28.3,74.4
140,군산,2021-07-16,26.8,87.1
140,군산,2021-07-17,25.5,87.5
140,군산,2021-07-18,25.7,88.3
140,군산,2021-07-19,25.6,86.8
140,군산,2021-07-20,27.5,84
140,군산,2021-07-21,29,72.3
140,군산,2021-07-22,28.8,67.8
140,군산,2021-07-23,28.2,73.9
140,군산,2021-07-24,28.8,75.4
140,군산,2021-07-25,29,67.1
140,군산,2021-07-27,28.6,75.3
140,군산,2021-07-28,28.4,78
140,군산,2021-07-29,28.2,75.5
140,군산,2021-07-30,28.4,78
140,군산,2021-07-31,28,80.6
140,군산,2021-08-01,25.4,98.6
140,군산,2021-08-02,25.3,96.9
140,군산,2021-08-03,27,85.8
140,군산,2021-08-04,28,77.3
140,군산,2021-08-05,28.5,77
140,군산,2021-08-06,27.8,77.5
140,군산,2021-08-07,27.3,73.3
140,군산,2021-08-08,26.6,80.6
140,군산,2021-08-09,27.3,71.9
140,군산,2021-08-10,26.8,83
140,군산,2021-08-11,27.3,76.1
140,군산,2021-08-12,26.3,83.1
140,군산,2021-08-13,25.8,82.4
