瘤痢,瘤痢疙,老矫,扁柯(∑C),嚼档(%)
90,加檬,2021-01-01 00:00,-6.3,30
90,加檬,2021-01-01 01:00,-6.7,30
90,加檬,2021-01-01 02:00,-6.7,26
90,加檬,2021-01-01 03:00,-7.2,25
90,加檬,2021-01-01 04:00,-7.6,25
90,加檬,2021-01-01 05:00,-7.5,27
90,加檬,2021-01-01 06:00,-6.6,28
90,加檬,2021-01-01 07:00,-5.8,23
90,加檬,2021-01-01 08:00,-6.2,28
90,加檬,2021-01-01 09:00,-4.2,29
90,加檬,2021-01-01 10:00,-3.4,28
90,加檬,2021-01-01 11:00,-1.9,29
90,加檬,2021-01-01 12:00,-.7,28
90,加檬,2021-01-01 13:00,.5,25
90,加檬,2021-01-01 14:00,1.1,26
90,加檬,2021-01-01 15:00,1.1,26
90,加檬,2021-01-01 16:00,.4,28
90,加檬,2021-01-01 17:00,-.6,29
90,加檬,2021-01-01 18:00,-1,28
90,加檬,2021-01-01 19:00,-1.6,26
90,加檬,2021-01-01 20:00,-1.7,26
90,加檬,2021-01-01 21:00,-1.9,28
90,加檬,2021-01-01 22:00,-1.8,29
90,加檬,2021-01-01 23:00,-2.1,33
90,加檬,2021-01-02 00:00,-2.4,29
90,加檬,2021-01-02 01:00,-2.4,27
90,加檬,2021-01-02 02:00,-2.7,24
90,加檬,2021-01-02 03:00,-3.4,19
90,加檬,2021-01-02 04:00,-3.7,21
90,加檬,2021-01-02 05:00,-4,19
90,加檬,2021-01-02 06:00,-4.6,18
90,加檬,2021-01-02 07:00,-5,18
90,加檬,2021-01-02 08:00,-5.7,20
90,加檬,2021-01-02 09:00,-4.1,20
90,加檬,2021-01-02 10:00,-2.5,13
90,加檬,2021-01-02 11:00,-1.2,11
90,加檬,2021-01-02 12:00,-.7,11
90,加檬,2021-01-02 13:00,.4,11
90,加檬,2021-01-02 14:00,.4,10
90,加檬,2021-01-02 15:00,.9,10
90,加檬,2021-01-02 16:00,.3,12
90,加檬,2021-01-02 17:00,-1.1,13
90,加檬,2021-01-02 18:00,-1.9,15
90,加檬,2021-01-02 19:00,-2.5,17
90,加檬,2021-01-02 20:00,-2.5,19
90,加檬,2021-01-02 21:00,-2.7,20
90,加檬,2021-01-02 22:00,-3.3,24
90,加檬,2021-01-02 23:00,-3.5,21
90,加檬,2021-01-03 00:00,-3.7,21
90,加檬,2021-01-03 01:00,-3.9,24
90,加檬,2021-01-03 02:00,-3.8,27
90,加檬,2021-01-03 03:00,-4.2,27
90,加檬,2021-01-03 04:00,-4.7,20
90,加檬,2021-01-03 05:00,-5.3,19
90,加檬,2021-01-03 06:00,-4.7,18
90,加檬,2021-01-03 07:00,-5.4,21
90,加檬,2021-01-03 08:00,-5,20
90,加檬,2021-01-03 09:00,-3.9,20
90,加檬,2021-01-03 10:00,-3.1,19
90,加檬,2021-01-03 11:00,-1.9,19
90,加檬,2021-01-03 12:00,-1.1,18
90,加檬,2021-01-03 13:00,-.5,18
90,加檬,2021-01-03 14:00,-.1,16
90,加檬,2021-01-03 15:00,.5,14
90,加檬,2021-01-03 16:00,-.6,16
90,加檬,2021-01-03 17:00,-1.1,17
90,加檬,2021-01-03 18:00,-1.6,17
90,加檬,2021-01-03 19:00,-1.8,18
90,加檬,2021-01-03 20:00,-1.6,17
90,加檬,2021-01-03 21:00,-2,17
90,加檬,2021-01-03 22:00,-2.2,17
90,加檬,2021-01-03 23:00,-2.7,22
90,加檬,2021-01-04 00:00,-2.7,24
90,加檬,2021-01-04 01:00,-2.7,21
90,加檬,2021-01-04 02:00,-3.1,22
90,加檬,2021-01-04 03:00,-3.3,18
90,加檬,2021-01-04 04:00,-3.3,18
90,加檬,2021-01-04 05:00,-3.4,18
90,加檬,2021-01-04 06:00,-2.8,16
90,加檬,2021-01-04 07:00,-4,19
90,加檬,2021-01-04 08:00,-3.9,18
90,加檬,2021-01-04 09:00,-3,18
90,加檬,2021-01-04 10:00,-1.3,15
90,加檬,2021-01-04 11:00,.1,14
90,加檬,2021-01-04 12:00,1.8,15
90,加檬,2021-01-04 13:00,1.5,18
90,加檬,2021-01-04 14:00,2.3,20
90,加檬,2021-01-04 15:00,2.7,22
90,加檬,2021-01-04 16:00,1.9,22
90,加檬,2021-01-04 17:00,.8,26
90,加檬,2021-01-04 18:00,0,29
90,加檬,2021-01-04 19:00,-1.2,31
90,加檬,2021-01-04 20:00,-2.3,34
90,加檬,2021-01-04 21:00,-1.2,35
90,加檬,2021-01-04 22:00,-.7,44
90,加檬,2021-01-04 23:00,-1.2,44
90,加檬,2021-01-05 00:00,-1.1,48
90,加檬,2021-01-05 01:00,-1.5,54
90,加檬,2021-01-05 02:00,-1.7,56
90,加檬,2021-01-05 03:00,-2.8,59
90,加檬,2021-01-05 04:00,-2.9,56
90,加檬,2021-01-05 05:00,-3.7,58
90,加檬,2021-01-05 06:00,-2.5,48
90,加檬,2021-01-05 07:00,-2.5,46
90,加檬,2021-01-05 08:00,-2.4,34
90,加檬,2021-01-05 09:00,-3,35
90,加檬,2021-01-05 10:00,-2.9,26
90,加檬,2021-01-05 11:00,-2,22
90,加檬,2021-01-05 12:00,-1.1,20
90,加檬,2021-01-05 13:00,-.9,16
90,加檬,2021-01-05 14:00,-.4,15
90,加檬,2021-01-05 15:00,-.5,14
90,加檬,2021-01-05 16:00,-.9,13
90,加檬,2021-01-05 17:00,-2.2,14
90,加檬,2021-01-05 18:00,-3.4,17
90,加檬,2021-01-05 19:00,-4,16
90,加檬,2021-01-05 20:00,-4.8,18
90,加檬,2021-01-05 21:00,-5.3,19
90,加檬,2021-01-05 22:00,-5.9,23
90,加檬,2021-01-05 23:00,-6.7,23
90,加檬,2021-01-06 00:00,-7,25
90,加檬,2021-01-06 01:00,-6.8,22
90,加檬,2021-01-06 02:00,-7.2,22
90,加檬,2021-01-06 03:00,-6.9,20
90,加檬,2021-01-06 04:00,-7.9,21
90,加檬,2021-01-06 05:00,-7.9,21
90,加檬,2021-01-06 06:00,-8.8,28
90,加檬,2021-01-06 07:00,-8.7,25
90,加檬,2021-01-06 08:00,-8.3,23
90,加檬,2021-01-06 09:00,-7.4,23
90,加檬,2021-01-06 10:00,-5.3,17
90,加檬,2021-01-06 11:00,-4.9,17
90,加檬,2021-01-06 12:00,-4.9,19
90,加檬,2021-01-06 13:00,-3.3,16
90,加檬,2021-01-06 14:00,-2.5,14
90,加檬,2021-01-06 15:00,-2.7,15
90,加檬,2021-01-06 16:00,-2.9,15
90,加檬,2021-01-06 17:00,-4,16
90,加檬,2021-01-06 18:00,-5,18
90,加檬,2021-01-06 19:00,-6.3,22
90,加檬,2021-01-06 20:00,-5.2,19
90,加檬,2021-01-06 21:00,-5.2,21
90,加檬,2021-01-06 22:00,-6.1,28
90,加檬,2021-01-06 23:00,-6.3,53
90,加檬,2021-01-07 00:00,-6.6,65
90,加檬,2021-01-07 01:00,-6.1,64
90,加檬,2021-01-07 02:00,-7.1,68
90,加檬,2021-01-07 03:00,-7.8,32
90,加檬,2021-01-07 04:00,-10.3,23
90,加檬,2021-01-07 05:00,-11.9,19
90,加檬,2021-01-07 06:00,-13,21
90,加檬,2021-01-07 07:00,-14.2,26
90,加檬,2021-01-07 08:00,-14.7,32
90,加檬,2021-01-07 09:00,-14.1,25
90,加檬,2021-01-07 10:00,-12.7,21
90,加檬,2021-01-07 11:00,-11.9,24
90,加檬,2021-01-07 12:00,-11.4,23
90,加檬,2021-01-07 13:00,-10.2,20
90,加檬,2021-01-07 14:00,-10,21
90,加檬,2021-01-07 15:00,-10.3,22
90,加檬,2021-01-07 16:00,-10.4,20
90,加檬,2021-01-07 17:00,-11.8,21
90,加檬,2021-01-07 18:00,-12.4,21
90,加檬,2021-01-07 19:00,-13,21
90,加檬,2021-01-07 20:00,-13.3,21
90,加檬,2021-01-07 21:00,-13.8,22
90,加檬,2021-01-07 22:00,-13.8,21
90,加檬,2021-01-07 23:00,-13.9,19
90,加檬,2021-01-08 00:00,-14.4,21
90,加檬,2021-01-08 01:00,-14.7,21
90,加檬,2021-01-08 02:00,-14.5,23
90,加檬,2021-01-08 03:00,-15.4,26
90,加檬,2021-01-08 04:00,-16,27
90,加檬,2021-01-08 05:00,-15.6,25
90,加檬,2021-01-08 06:00,-16,26
90,加檬,2021-01-08 07:00,-15.8,26
90,加檬,2021-01-08 08:00,-15.2,24
90,加檬,2021-01-08 09:00,-14.7,25
90,加檬,2021-01-08 10:00,-12.6,22
90,加檬,2021-01-08 11:00,-12.4,21
90,加檬,2021-01-08 12:00,-11.7,20
90,加檬,2021-01-08 13:00,-11,21
90,加檬,2021-01-08 14:00,-9.7,19
90,加檬,2021-01-08 15:00,-9.2,19
90,加檬,2021-01-08 16:00,-9.5,19
90,加檬,2021-01-08 17:00,-10.4,20
90,加檬,2021-01-08 18:00,-11.1,22
90,加檬,2021-01-08 19:00,-11.2,22
90,加檬,2021-01-08 20:00,-11.9,24
90,加檬,2021-01-08 21:00,-12.4,25
90,加檬,2021-01-08 22:00,-13.1,27
90,加檬,2021-01-08 23:00,-13.5,29
