지점,지점명,일시,기온(°C),습도(%)
98,동두천,2021-01-01 00:00,-10,63
98,동두천,2021-01-01 01:00,-11.2,71
98,동두천,2021-01-01 02:00,-11.6,76
98,동두천,2021-01-01 03:00,-12,78
98,동두천,2021-01-01 04:00,-12.5,81
98,동두천,2021-01-01 05:00,-12.5,83
98,동두천,2021-01-01 06:00,-12.7,82
98,동두천,2021-01-01 07:00,-13.5,87
98,동두천,2021-01-01 08:00,-13,87
98,동두천,2021-01-01 09:00,-10.9,82
98,동두천,2021-01-01 10:00,-8.5,72
98,동두천,2021-01-01 11:00,-5.4,61
98,동두천,2021-01-01 12:00,-2.7,50
98,동두천,2021-01-01 13:00,-1.3,49
98,동두천,2021-01-01 14:00,-.1,51
98,동두천,2021-01-01 15:00,.5,56
98,동두천,2021-01-01 16:00,-.9,56
98,동두천,2021-01-01 17:00,-2,60
98,동두천,2021-01-01 18:00,-2.8,67
98,동두천,2021-01-01 19:00,-2.8,67
98,동두천,2021-01-01 20:00,-4,73
98,동두천,2021-01-01 21:00,-4.1,75
98,동두천,2021-01-01 22:00,-4,67
98,동두천,2021-01-01 23:00,-4.5,43
98,동두천,2021-01-02 00:00,-5.4,50
98,동두천,2021-01-02 01:00,-6.4,46
98,동두천,2021-01-02 02:00,-6.9,39
98,동두천,2021-01-02 03:00,-7.6,44
98,동두천,2021-01-02 04:00,-8,43
98,동두천,2021-01-02 05:00,-8.4,39
98,동두천,2021-01-02 06:00,-9.4,47
98,동두천,2021-01-02 07:00,-9.8,47
98,동두천,2021-01-02 08:00,-10.5,54
98,동두천,2021-01-02 09:00,-9.4,55
98,동두천,2021-01-02 10:00,-7,39
98,동두천,2021-01-02 11:00,-5.3,31
98,동두천,2021-01-02 12:00,-3.6,27
98,동두천,2021-01-02 13:00,-1.6,28
98,동두천,2021-01-02 14:00,-1.9,28
98,동두천,2021-01-02 15:00,-1,28
98,동두천,2021-01-02 16:00,-1.3,28
98,동두천,2021-01-02 17:00,-3.3,31
98,동두천,2021-01-02 18:00,-4.8,36
98,동두천,2021-01-02 19:00,-5.5,37
98,동두천,2021-01-02 20:00,-6.2,39
98,동두천,2021-01-02 21:00,-6.7,38
98,동두천,2021-01-02 22:00,-7.5,40
98,동두천,2021-01-02 23:00,-8,43
98,동두천,2021-01-03 00:00,-8.2,45
98,동두천,2021-01-03 01:00,-8.7,49
98,동두천,2021-01-03 02:00,-8.9,48
98,동두천,2021-01-03 03:00,-10.1,54
98,동두천,2021-01-03 04:00,-11.2,62
98,동두천,2021-01-03 05:00,-11.7,67
98,동두천,2021-01-03 06:00,-12.2,68
98,동두천,2021-01-03 07:00,-12.6,70
98,동두천,2021-01-03 08:00,-12.5,71
98,동두천,2021-01-03 09:00,-11.2,67
