ÁöÁ¡,ÁöÁ¡¸í,ÀÏ½Ã,±â¿Â(¡ÆC),½Àµµ(%)
115,¿ï¸ªµµ,2021-01-01 00:00,-2.3,69
115,¿ï¸ªµµ,2021-01-01 01:00,-2.2,66
115,¿ï¸ªµµ,2021-01-01 02:00,-2.8,56
115,¿ï¸ªµµ,2021-01-01 03:00,-2.9,65
115,¿ï¸ªµµ,2021-01-01 04:00,-3.2,65
115,¿ï¸ªµµ,2021-01-01 05:00,-3.2,65
115,¿ï¸ªµµ,2021-01-01 06:00,-3.3,63
115,¿ï¸ªµµ,2021-01-01 07:00,-3.4,60
115,¿ï¸ªµµ,2021-01-01 08:00,-3.3,68
115,¿ï¸ªµµ,2021-01-01 09:00,-2.9,63
115,¿ï¸ªµµ,2021-01-01 10:00,-1.5,52
115,¿ï¸ªµµ,2021-01-01 11:00,-1.2,51
115,¿ï¸ªµµ,2021-01-01 12:00,-.6,55
115,¿ï¸ªµµ,2021-01-01 13:00,.1,52
115,¿ï¸ªµµ,2021-01-01 14:00,.3,54
115,¿ï¸ªµµ,2021-01-01 15:00,-.1,59
115,¿ï¸ªµµ,2021-01-01 16:00,.1,53
115,¿ï¸ªµµ,2021-01-01 17:00,-.2,55
115,¿ï¸ªµµ,2021-01-01 18:00,-.4,56
115,¿ï¸ªµµ,2021-01-01 19:00,-.2,66
115,¿ï¸ªµµ,2021-01-01 20:00,-.1,67
115,¿ï¸ªµµ,2021-01-01 21:00,.4,53
115,¿ï¸ªµµ,2021-01-01 22:00,.2,52
115,¿ï¸ªµµ,2021-01-01 23:00,.2,50
115,¿ï¸ªµµ,2021-01-02 00:00,.2,55
115,¿ï¸ªµµ,2021-01-02 01:00,.1,52
115,¿ï¸ªµµ,2021-01-02 02:00,0,66
115,¿ï¸ªµµ,2021-01-02 03:00,-1,75
115,¿ï¸ªµµ,2021-01-02 04:00,-1.2,80
115,¿ï¸ªµµ,2021-01-02 05:00,-1.3,66
115,¿ï¸ªµµ,2021-01-02 06:00,-1.1,48
115,¿ï¸ªµµ,2021-01-02 07:00,-1.2,59
115,¿ï¸ªµµ,2021-01-02 08:00,-1.4,57
115,¿ï¸ªµµ,2021-01-02 09:00,-1.2,58
115,¿ï¸ªµµ,2021-01-02 10:00,-.1,58
115,¿ï¸ªµµ,2021-01-02 11:00,.5,59
115,¿ï¸ªµµ,2021-01-02 12:00,1.2,61
115,¿ï¸ªµµ,2021-01-02 13:00,1.4,58
115,¿ï¸ªµµ,2021-01-02 14:00,.8,86
115,¿ï¸ªµµ,2021-01-02 15:00,.2,88
115,¿ï¸ªµµ,2021-01-02 16:00,-.1,98
115,¿ï¸ªµµ,2021-01-02 17:00,-.5,100
115,¿ï¸ªµµ,2021-01-02 18:00,-.8,100
115,¿ï¸ªµµ,2021-01-02 19:00,-.8,100
115,¿ï¸ªµµ,2021-01-02 20:00,-.7,100
115,¿ï¸ªµµ,2021-01-02 21:00,-1,88
115,¿ï¸ªµµ,2021-01-02 22:00,-1.1,70
115,¿ï¸ªµµ,2021-01-02 23:00,-1.8,67
115,¿ï¸ªµµ,2021-01-03 00:00,-1.5,63
115,¿ï¸ªµµ,2021-01-03 01:00,-1.6,59
115,¿ï¸ªµµ,2021-01-03 02:00,-1.3,58
115,¿ï¸ªµµ,2021-01-03 03:00,-1,58
115,¿ï¸ªµµ,2021-01-03 04:00,-1.1,59
115,¿ï¸ªµµ,2021-01-03 05:00,-1.6,57
115,¿ï¸ªµµ,2021-01-03 06:00,-1.3,56
115,¿ï¸ªµµ,2021-01-03 07:00,-1.1,55
115,¿ï¸ªµµ,2021-01-03 08:00,-1.1,62
115,¿ï¸ªµµ,2021-01-03 09:00,-.7,60
115,¿ï¸ªµµ,2021-01-03 10:00,0,58
115,¿ï¸ªµµ,2021-01-03 11:00,.8,53
115,¿ï¸ªµµ,2021-01-03 12:00,.8,57
115,¿ï¸ªµµ,2021-01-03 13:00,2,54
115,¿ï¸ªµµ,2021-01-03 14:00,.8,57
115,¿ï¸ªµµ,2021-01-03 15:00,.5,58
115,¿ï¸ªµµ,2021-01-03 16:00,.2,54
115,¿ï¸ªµµ,2021-01-03 17:00,-.1,53
115,¿ï¸ªµµ,2021-01-03 18:00,-.2,51
115,¿ï¸ªµµ,2021-01-03 19:00,-.2,48
115,¿ï¸ªµµ,2021-01-03 20:00,-.1,52
115,¿ï¸ªµµ,2021-01-03 21:00,.5,51
115,¿ï¸ªµµ,2021-01-03 22:00,.3,48
115,¿ï¸ªµµ,2021-01-03 23:00,0,56
115,¿ï¸ªµµ,2021-01-04 00:00,.1,53
115,¿ï¸ªµµ,2021-01-04 01:00,.1,52
115,¿ï¸ªµµ,2021-01-04 02:00,-.2,53
115,¿ï¸ªµµ,2021-01-04 03:00,-.2,55
115,¿ï¸ªµµ,2021-01-04 04:00,-.3,58
115,¿ï¸ªµµ,2021-01-04 05:00,-.4,57
115,¿ï¸ªµµ,2021-01-04 06:00,-.4,57
115,¿ï¸ªµµ,2021-01-04 07:00,-.1,60
115,¿ï¸ªµµ,2021-01-04 08:00,.2,65
115,¿ï¸ªµµ,2021-01-04 09:00,.9,56
115,¿ï¸ªµµ,2021-01-04 10:00,2.1,54
115,¿ï¸ªµµ,2021-01-04 11:00,3.1,56
115,¿ï¸ªµµ,2021-01-04 12:00,3.6,52
115,¿ï¸ªµµ,2021-01-04 13:00,3.6,54
115,¿ï¸ªµµ,2021-01-04 14:00,4.1,52
115,¿ï¸ªµµ,2021-01-04 15:00,2.9,51
115,¿ï¸ªµµ,2021-01-04 16:00,2.7,52
115,¿ï¸ªµµ,2021-01-04 17:00,1.4,52
115,¿ï¸ªµµ,2021-01-04 18:00,.8,52
115,¿ï¸ªµµ,2021-01-04 19:00,.2,57
115,¿ï¸ªµµ,2021-01-04 20:00,.4,53
115,¿ï¸ªµµ,2021-01-04 21:00,.6,55
115,¿ï¸ªµµ,2021-01-04 22:00,.6,61
115,¿ï¸ªµµ,2021-01-04 23:00,.7,60
115,¿ï¸ªµµ,2021-01-05 00:00,.9,61
115,¿ï¸ªµµ,2021-01-05 01:00,1.5,61
115,¿ï¸ªµµ,2021-01-05 02:00,2.8,62
115,¿ï¸ªµµ,2021-01-05 03:00,3.2,66
115,¿ï¸ªµµ,2021-01-05 04:00,3,72
115,¿ï¸ªµµ,2021-01-05 05:00,2.3,73
115,¿ï¸ªµµ,2021-01-05 06:00,2.1,72
115,¿ï¸ªµµ,2021-01-05 07:00,1.8,73
115,¿ï¸ªµµ,2021-01-05 08:00,1.5,72
115,¿ï¸ªµµ,2021-01-05 09:00,1.8,69
115,¿ï¸ªµµ,2021-01-05 10:00,2.6,62
115,¿ï¸ªµµ,2021-01-05 11:00,3.3,54
115,¿ï¸ªµµ,2021-01-05 12:00,3.3,47
115,¿ï¸ªµµ,2021-01-05 13:00,2.5,52
115,¿ï¸ªµµ,2021-01-05 14:00,1.8,54
