瘤痢,瘤痢疙,老矫,扁柯(∑C),嚼档(%)
156,堡林,2021-01-01 00:00,-1.8,79
156,堡林,2021-01-01 01:00,-2.9,83
156,堡林,2021-01-01 02:00,-2.9,81
156,堡林,2021-01-01 03:00,-2.8,86
156,堡林,2021-01-01 04:00,-2.9,87
156,堡林,2021-01-01 05:00,-4.1,93
156,堡林,2021-01-01 06:00,-4.8,92
156,堡林,2021-01-01 07:00,-4.3,94
156,堡林,2021-01-01 08:00,-3.9,95
156,堡林,2021-01-01 09:00,-3,95
156,堡林,2021-01-01 10:00,-2.5,93
156,堡林,2021-01-01 11:00,-.9,86
156,堡林,2021-01-01 12:00,.4,79
156,堡林,2021-01-01 13:00,1.5,74
156,堡林,2021-01-01 14:00,1.7,74
156,堡林,2021-01-01 15:00,2.8,70
156,堡林,2021-01-01 16:00,2.4,63
156,堡林,2021-01-01 17:00,2.1,67
156,堡林,2021-01-01 18:00,1.1,78
156,堡林,2021-01-01 19:00,1.5,72
156,堡林,2021-01-01 20:00,1.8,68
156,堡林,2021-01-01 21:00,1.1,76
156,堡林,2021-01-01 22:00,.8,84
156,堡林,2021-01-01 23:00,.7,87
156,堡林,2021-01-02 00:00,.7,89
156,堡林,2021-01-02 01:00,.2,95
156,堡林,2021-01-02 02:00,.1,97
156,堡林,2021-01-02 03:00,-.1,98
156,堡林,2021-01-02 04:00,.2,98
156,堡林,2021-01-02 05:00,0,98
156,堡林,2021-01-02 06:00,.1,98
156,堡林,2021-01-02 07:00,0,98
156,堡林,2021-01-02 08:00,-.5,97
156,堡林,2021-01-02 09:00,-.3,94
156,堡林,2021-01-02 10:00,.7,79
156,堡林,2021-01-02 11:00,1.4,64
156,堡林,2021-01-02 12:00,1.5,55
156,堡林,2021-01-02 13:00,2.2,48
156,堡林,2021-01-02 14:00,2.5,46
156,堡林,2021-01-02 15:00,2.4,38
156,堡林,2021-01-02 16:00,1.7,33
156,堡林,2021-01-02 17:00,.2,41
156,堡林,2021-01-02 18:00,-.6,48
156,堡林,2021-01-02 19:00,-1,51
156,堡林,2021-01-02 20:00,-1.9,54
156,堡林,2021-01-02 21:00,-2.3,54
156,堡林,2021-01-02 22:00,-2.6,55
156,堡林,2021-01-02 23:00,-3.1,58
156,堡林,2021-01-03 00:00,-2.9,57
156,堡林,2021-01-03 01:00,-2.6,56
156,堡林,2021-01-03 02:00,-2.6,62
156,堡林,2021-01-03 03:00,-2.7,59
156,堡林,2021-01-03 04:00,-2.6,56
156,堡林,2021-01-03 05:00,-2.7,55
156,堡林,2021-01-03 06:00,-2.8,56
156,堡林,2021-01-03 07:00,-2.9,59
156,堡林,2021-01-03 08:00,-3.2,57
156,堡林,2021-01-03 09:00,-2.2,52
156,堡林,2021-01-03 10:00,-.7,45
156,堡林,2021-01-03 11:00,.3,42
156,堡林,2021-01-03 12:00,1.1,43
156,堡林,2021-01-03 13:00,2.3,44
156,堡林,2021-01-03 14:00,3.4,42
156,堡林,2021-01-03 15:00,2.8,47
156,堡林,2021-01-03 16:00,2.3,49
156,堡林,2021-01-03 17:00,1.5,51
156,堡林,2021-01-03 18:00,.8,54
156,堡林,2021-01-03 19:00,.5,55
156,堡林,2021-01-03 20:00,.1,58
156,堡林,2021-01-03 21:00,-.3,58
156,堡林,2021-01-03 22:00,-.5,58
156,堡林,2021-01-03 23:00,-.7,61
156,堡林,2021-01-04 00:00,-1.3,68
156,堡林,2021-01-04 01:00,-1.2,70
156,堡林,2021-01-04 02:00,-2.3,74
156,堡林,2021-01-04 03:00,-2.5,76
156,堡林,2021-01-04 04:00,-2.5,77
156,堡林,2021-01-04 05:00,-2.9,81
156,堡林,2021-01-04 06:00,-3.5,84
156,堡林,2021-01-04 07:00,-2.8,73
156,堡林,2021-01-04 08:00,-2.3,64
156,堡林,2021-01-04 09:00,-2.8,83
156,堡林,2021-01-04 10:00,-.7,63
156,堡林,2021-01-04 11:00,.8,56
156,堡林,2021-01-04 12:00,3.6,48
156,堡林,2021-01-04 13:00,4.7,49
156,堡林,2021-01-04 14:00,5.8,46
156,堡林,2021-01-04 15:00,6.6,48
156,堡林,2021-01-04 16:00,5.6,57
156,堡林,2021-01-04 17:00,4.5,61
156,堡林,2021-01-04 18:00,4.1,62
156,堡林,2021-01-04 19:00,3.3,72
156,堡林,2021-01-04 20:00,2.7,81
156,堡林,2021-01-04 21:00,2.2,83
156,堡林,2021-01-04 22:00,1.9,86
156,堡林,2021-01-04 23:00,1.4,88
156,堡林,2021-01-05 00:00,1.7,90
156,堡林,2021-01-05 01:00,1.3,93
156,堡林,2021-01-05 02:00,1.2,92
156,堡林,2021-01-05 03:00,1.1,92
156,堡林,2021-01-05 04:00,1.2,93
156,堡林,2021-01-05 05:00,1.2,95
156,堡林,2021-01-05 06:00,1.4,94
156,堡林,2021-01-05 07:00,1.9,84
156,堡林,2021-01-05 08:00,1.1,67
156,堡林,2021-01-05 09:00,1.7,62
156,堡林,2021-01-05 10:00,2.7,58
156,堡林,2021-01-05 11:00,2.9,50
156,堡林,2021-01-05 12:00,2.1,54
156,堡林,2021-01-05 13:00,1.6,54
156,堡林,2021-01-05 14:00,1.3,50
156,堡林,2021-01-05 15:00,.3,49
156,堡林,2021-01-05 16:00,-.2,48
156,堡林,2021-01-05 17:00,-.8,47
156,堡林,2021-01-05 18:00,-1.5,48
156,堡林,2021-01-05 19:00,-2.1,49
156,堡林,2021-01-05 20:00,-2.5,52
156,堡林,2021-01-05 21:00,-2.8,55
156,堡林,2021-01-05 22:00,-3.2,58
156,堡林,2021-01-05 23:00,-3.5,63
156,堡林,2021-01-06 00:00,-4,65
156,堡林,2021-01-06 01:00,-4.3,64
156,堡林,2021-01-06 02:00,-4.9,62
156,堡林,2021-01-06 03:00,-5.1,61
156,堡林,2021-01-06 04:00,-5.1,60
156,堡林,2021-01-06 05:00,-5.4,61
156,堡林,2021-01-06 06:00,-5.4,59
156,堡林,2021-01-06 07:00,-5.4,62
156,堡林,2021-01-06 08:00,-4.9,57
156,堡林,2021-01-06 09:00,-4.5,55
156,堡林,2021-01-06 10:00,-3.9,55
156,堡林,2021-01-06 11:00,-1.8,53
156,堡林,2021-01-06 12:00,-.8,51
156,堡林,2021-01-06 13:00,-.8,51
156,堡林,2021-01-06 14:00,.1,50
156,堡林,2021-01-06 15:00,1.5,44
156,堡林,2021-01-06 16:00,.4,48
156,堡林,2021-01-06 17:00,-.3,55
156,堡林,2021-01-06 18:00,-1.8,81
156,堡林,2021-01-06 19:00,-1.8,87
156,堡林,2021-01-06 20:00,-1.7,84
156,堡林,2021-01-06 21:00,-1.5,83
156,堡林,2021-01-06 22:00,-1.9,92
156,堡林,2021-01-06 23:00,-1.9,96
156,堡林,2021-01-07 00:00,-1.6,93
156,堡林,2021-01-07 01:00,-2.5,69
156,堡林,2021-01-07 02:00,-3.7,62
156,堡林,2021-01-07 03:00,-4.6,91
156,堡林,2021-01-07 04:00,-5.3,87
156,堡林,2021-01-07 05:00,-6.2,77
156,堡林,2021-01-07 06:00,-6.6,77
156,堡林,2021-01-07 07:00,-7,69
156,堡林,2021-01-07 08:00,-7.4,84
156,堡林,2021-01-07 09:00,-8,84
156,堡林,2021-01-07 10:00,-8.7,86
156,堡林,2021-01-07 11:00,-8.8,82
156,堡林,2021-01-07 12:00,-8.4,78
156,堡林,2021-01-07 13:00,-8.5,72
156,堡林,2021-01-07 14:00,-7.5,60
156,堡林,2021-01-07 15:00,-7.9,56
156,堡林,2021-01-07 16:00,-8.1,57
156,堡林,2021-01-07 17:00,-8.9,56
156,堡林,2021-01-07 18:00,-9.7,59
156,堡林,2021-01-07 19:00,-10.1,59
156,堡林,2021-01-07 20:00,-10.5,54
156,堡林,2021-01-07 21:00,-11.1,55
156,堡林,2021-01-07 22:00,-11.2,53
156,堡林,2021-01-07 23:00,-11.3,54
156,堡林,2021-01-08 00:00,-10.9,53
156,堡林,2021-01-08 01:00,-11.3,53
156,堡林,2021-01-08 02:00,-11.5,54
156,堡林,2021-01-08 03:00,-12.2,67
156,堡林,2021-01-08 04:00,-12.6,69
156,堡林,2021-01-08 05:00,-12.7,65
156,堡林,2021-01-08 06:00,-13.2,67
156,堡林,2021-01-08 07:00,-13.2,63
156,堡林,2021-01-08 08:00,-13.4,63
156,堡林,2021-01-08 09:00,-12.2,58
156,堡林,2021-01-08 10:00,-10.5,48
156,堡林,2021-01-08 11:00,-9.2,45
156,堡林,2021-01-08 12:00,-7.7,44
156,堡林,2021-01-08 13:00,-6.7,41
156,堡林,2021-01-08 14:00,-6.7,51
156,堡林,2021-01-08 15:00,-6.3,52
156,堡林,2021-01-08 16:00,-6,50
156,堡林,2021-01-08 17:00,-6.9,52
156,堡林,2021-01-08 18:00,-7.9,55
156,堡林,2021-01-08 19:00,-8.9,52
156,堡林,2021-01-08 20:00,-9.4,53
156,堡林,2021-01-08 21:00,-9.7,51
156,堡林,2021-01-08 22:00,-10,52
156,堡林,2021-01-08 23:00,-10.4,55
156,堡林,2021-01-09 00:00,-9.8,52
156,堡林,2021-01-09 01:00,-11.1,55
156,堡林,2021-01-09 02:00,-10.8,53
156,堡林,2021-01-09 03:00,-11.4,58
156,堡林,2021-01-09 04:00,-10.3,56
156,堡林,2021-01-09 05:00,-10.5,58
156,堡林,2021-01-09 06:00,-10.8,61
156,堡林,2021-01-09 07:00,-11,63
156,堡林,2021-01-09 08:00,-10.6,60
156,堡林,2021-01-09 09:00,-9.3,54
156,堡林,2021-01-09 10:00,-7.8,46
156,堡林,2021-01-09 11:00,-6.4,39
156,堡林,2021-01-09 12:00,-4.9,38
156,堡林,2021-01-09 13:00,-3.7,37
156,堡林,2021-01-09 14:00,-2.7,37
156,堡林,2021-01-09 15:00,-1.9,42
156,堡林,2021-01-09 16:00,-2.7,49
156,堡林,2021-01-09 17:00,-4.2,55
156,堡林,2021-01-09 18:00,-5.7,55
156,堡林,2021-01-09 19:00,-6.8,56
156,堡林,2021-01-09 20:00,-7.4,56
156,堡林,2021-01-09 21:00,-8.1,56
156,堡林,2021-01-09 22:00,-8.1,56
156,堡林,2021-01-09 23:00,-8.6,58
156,堡林,2021-01-10 00:00,-8.4,57
156,堡林,2021-01-10 01:00,-8.5,62
156,堡林,2021-01-10 02:00,-8.9,67
