지점,지점명,일시,기온(°C),습도(%)
133,대전,2021-01-01 00:00,-7.7,90
133,대전,2021-01-01 01:00,-7.9,90
133,대전,2021-01-01 02:00,-8.1,91
133,대전,2021-01-01 03:00,-8.4,90
133,대전,2021-01-01 04:00,-8.8,90
133,대전,2021-01-01 05:00,-9.1,91
133,대전,2021-01-01 06:00,-9.5,91
133,대전,2021-01-01 07:00,-9.5,92
133,대전,2021-01-01 08:00,-9.5,92
133,대전,2021-01-01 09:00,-7.8,90
133,대전,2021-01-01 10:00,-5.4,83
133,대전,2021-01-01 11:00,-3.5,72
133,대전,2021-01-01 12:00,-2.8,66
133,대전,2021-01-01 13:00,-2.3,79
133,대전,2021-01-01 14:00,-1.8,83
133,대전,2021-01-01 15:00,-1.7,87
133,대전,2021-01-01 16:00,-1.4,90
133,대전,2021-01-01 17:00,-1.4,91
133,대전,2021-01-01 18:00,-1.6,94
133,대전,2021-01-01 19:00,-1.7,95
133,대전,2021-01-01 20:00,-1.9,95
133,대전,2021-01-01 21:00,-2,95
133,대전,2021-01-01 22:00,-2.6,95
133,대전,2021-01-01 23:00,-3.2,96
133,대전,2021-01-02 00:00,-3.1,97
133,대전,2021-01-02 01:00,-3.7,97
133,대전,2021-01-02 02:00,-3.2,97
133,대전,2021-01-02 03:00,-3.5,97
133,대전,2021-01-02 04:00,-4.2,96
133,대전,2021-01-02 05:00,-4.9,95
133,대전,2021-01-02 06:00,-5.3,96
133,대전,2021-01-02 07:00,-6.4,93
133,대전,2021-01-02 08:00,-7,91
133,대전,2021-01-02 09:00,-6.1,90
133,대전,2021-01-02 10:00,-3.7,63
133,대전,2021-01-02 11:00,-2.1,43
133,대전,2021-01-02 12:00,-.9,39
133,대전,2021-01-02 13:00,-.2,40
133,대전,2021-01-02 14:00,.6,40
133,대전,2021-01-02 15:00,1,37
133,대전,2021-01-02 16:00,.2,39
133,대전,2021-01-02 17:00,-.9,43
133,대전,2021-01-02 18:00,-2.3,47
133,대전,2021-01-02 19:00,-3.5,50
133,대전,2021-01-02 20:00,-4.6,56
133,대전,2021-01-02 21:00,-4.6,60
133,대전,2021-01-02 22:00,-5,65
133,대전,2021-01-02 23:00,-5.3,69
133,대전,2021-01-03 00:00,-6,74
133,대전,2021-01-03 01:00,-6.2,77
133,대전,2021-01-03 02:00,-6.7,78
133,대전,2021-01-03 03:00,-7,73
133,대전,2021-01-03 04:00,-7.1,77
133,대전,2021-01-03 05:00,-7,77
133,대전,2021-01-03 06:00,-7.7,75
133,대전,2021-01-03 07:00,-8.2,81
133,대전,2021-01-03 08:00,-8.4,84
133,대전,2021-01-03 09:00,-7.3,81
133,대전,2021-01-03 10:00,-3.9,73
133,대전,2021-01-03 11:00,-2,45
133,대전,2021-01-03 12:00,-1.1,43
133,대전,2021-01-03 13:00,-.2,44
133,대전,2021-01-03 14:00,-.1,46
133,대전,2021-01-03 15:00,-.2,47
133,대전,2021-01-03 16:00,-.6,49
133,대전,2021-01-03 17:00,-1,50
133,대전,2021-01-03 18:00,-1.6,53
133,대전,2021-01-03 19:00,-2.2,56
133,대전,2021-01-03 20:00,-2.5,58
133,대전,2021-01-03 21:00,-3,64
133,대전,2021-01-03 22:00,-3.8,67
133,대전,2021-01-03 23:00,-4.3,71
133,대전,2021-01-04 00:00,-4.9,74
133,대전,2021-01-04 01:00,-5.5,77
133,대전,2021-01-04 02:00,-6.3,80
133,대전,2021-01-04 03:00,-6.7,82
133,대전,2021-01-04 04:00,-7.5,85
133,대전,2021-01-04 05:00,-7.6,86
133,대전,2021-01-04 06:00,-7.8,87
133,대전,2021-01-04 07:00,-8.2,88
133,대전,2021-01-04 08:00,-8.3,89
133,대전,2021-01-04 09:00,-7.1,88
133,대전,2021-01-04 10:00,-3.8,82
133,대전,2021-01-04 11:00,-1.5,67
133,대전,2021-01-04 12:00,.5,59
133,대전,2021-01-04 13:00,1.3,43
133,대전,2021-01-04 14:00,1.4,43
133,대전,2021-01-04 15:00,1.8,42
133,대전,2021-01-04 16:00,2,43
133,대전,2021-01-04 17:00,1.7,45
133,대전,2021-01-04 18:00,.3,50
133,대전,2021-01-04 19:00,-.7,56
133,대전,2021-01-04 20:00,-1.4,60
133,대전,2021-01-04 21:00,-1.7,63
133,대전,2021-01-04 22:00,-1.9,67
133,대전,2021-01-04 23:00,-1.9,68
133,대전,2021-01-05 00:00,-1.4,70
133,대전,2021-01-05 01:00,-1,72
133,대전,2021-01-05 02:00,-1,79
133,대전,2021-01-05 03:00,-.7,82
133,대전,2021-01-05 04:00,-.5,82
133,대전,2021-01-05 05:00,-.7,84
133,대전,2021-01-05 06:00,-.7,81
133,대전,2021-01-05 07:00,-2,79
133,대전,2021-01-05 08:00,-3,82
133,대전,2021-01-05 09:00,-2.2,75
133,대전,2021-01-05 10:00,-1.2,64
133,대전,2021-01-05 11:00,-.4,45
133,대전,2021-01-05 12:00,-1,33
133,대전,2021-01-05 13:00,-.6,35
133,대전,2021-01-05 14:00,-.1,40
133,대전,2021-01-05 15:00,-.5,39
133,대전,2021-01-05 16:00,-.9,39
133,대전,2021-01-05 17:00,-2.2,44
133,대전,2021-01-05 18:00,-3.5,51
133,대전,2021-01-05 19:00,-4.4,55
133,대전,2021-01-05 20:00,-5.3,57
133,대전,2021-01-05 21:00,-5.9,60
133,대전,2021-01-05 22:00,-7,62
133,대전,2021-01-05 23:00,-7.3,63
133,대전,2021-01-06 00:00,-7.6,68
133,대전,2021-01-06 01:00,-8.2,71
133,대전,2021-01-06 02:00,-8.7,74
133,대전,2021-01-06 03:00,-8.7,73
133,대전,2021-01-06 04:00,-9.1,75
133,대전,2021-01-06 05:00,-9.5,78
133,대전,2021-01-06 06:00,-10,82
133,대전,2021-01-06 07:00,-10.2,82
133,대전,2021-01-06 08:00,-10.5,84
133,대전,2021-01-06 09:00,-8.8,81
133,대전,2021-01-06 10:00,-5.7,62
133,대전,2021-01-06 11:00,-3.3,56
133,대전,2021-01-06 12:00,-3,48
133,대전,2021-01-06 13:00,-3.3,48
133,대전,2021-01-06 14:00,-2,46
133,대전,2021-01-06 15:00,-2.1,45
133,대전,2021-01-06 16:00,-1.7,43
133,대전,2021-01-06 17:00,-2.7,47
133,대전,2021-01-06 18:00,-3.1,53
133,대전,2021-01-06 19:00,-3.7,58
133,대전,2021-01-06 20:00,-3.5,62
133,대전,2021-01-06 21:00,-3.4,66
133,대전,2021-01-06 22:00,-4.4,92
133,대전,2021-01-06 23:00,-3.8,94
133,대전,2021-01-07 00:00,-3.4,84
133,대전,2021-01-07 01:00,-4.4,88
133,대전,2021-01-07 02:00,-7.5,72
133,대전,2021-01-07 03:00,-8.1,75
133,대전,2021-01-07 04:00,-9.9,78
133,대전,2021-01-07 05:00,-10.5,81
133,대전,2021-01-07 06:00,-11.2,80
133,대전,2021-01-07 07:00,-11.6,68
133,대전,2021-01-07 08:00,-12.1,70
133,대전,2021-01-07 09:00,-11.7,71
133,대전,2021-01-07 10:00,-9.8,57
133,대전,2021-01-07 11:00,-9.6,48
133,대전,2021-01-07 12:00,-8.6,47
133,대전,2021-01-07 13:00,-8.8,48
133,대전,2021-01-07 14:00,-9.4,45
133,대전,2021-01-07 15:00,-8.8,43
133,대전,2021-01-07 16:00,-9.5,49
133,대전,2021-01-07 17:00,-10.8,47
133,대전,2021-01-07 18:00,-11.9,42
133,대전,2021-01-07 19:00,-13,45
133,대전,2021-01-07 20:00,-13.9,45
133,대전,2021-01-07 21:00,-14.4,49
133,대전,2021-01-07 22:00,-14.7,51
133,대전,2021-01-07 23:00,-15.4,57
133,대전,2021-01-08 00:00,-15.3,55
133,대전,2021-01-08 01:00,-15.5,58
133,대전,2021-01-08 02:00,-15.8,67
133,대전,2021-01-08 03:00,-16.3,67
133,대전,2021-01-08 04:00,-16.6,64
133,대전,2021-01-08 05:00,-16.9,66
