瘤痢,瘤痢疙,老矫,扁柯(∑C),嚼档(%)
165,格器,2021-01-01 00:00,-.9,78
165,格器,2021-01-01 01:00,-1.4,79
165,格器,2021-01-01 02:00,-1.5,78
165,格器,2021-01-01 03:00,-1.4,79
165,格器,2021-01-01 04:00,-1.7,80
165,格器,2021-01-01 05:00,-1.9,83
165,格器,2021-01-01 06:00,-1.8,85
165,格器,2021-01-01 07:00,-2.2,85
165,格器,2021-01-01 08:00,-2,88
165,格器,2021-01-01 09:00,-1.5,88
165,格器,2021-01-01 10:00,.5,79
165,格器,2021-01-01 11:00,2,58
165,格器,2021-01-01 12:00,2.5,58
165,格器,2021-01-01 13:00,2.9,52
165,格器,2021-01-01 14:00,3.4,48
165,格器,2021-01-01 15:00,3.6,48
165,格器,2021-01-01 16:00,3.2,53
165,格器,2021-01-01 17:00,3.2,53
165,格器,2021-01-01 18:00,2.7,58
165,格器,2021-01-01 19:00,3.2,54
165,格器,2021-01-01 20:00,3.1,58
165,格器,2021-01-01 21:00,2.9,61
165,格器,2021-01-01 22:00,2.7,62
165,格器,2021-01-01 23:00,2.8,66
165,格器,2021-01-02 00:00,3.1,71
165,格器,2021-01-02 01:00,3.4,58
165,格器,2021-01-02 02:00,1.9,76
165,格器,2021-01-02 03:00,1.6,80
165,格器,2021-01-02 04:00,1.4,85
165,格器,2021-01-02 05:00,.9,88
165,格器,2021-01-02 06:00,1.1,90
165,格器,2021-01-02 07:00,1.2,89
165,格器,2021-01-02 08:00,1,89
165,格器,2021-01-02 09:00,.5,91
165,格器,2021-01-02 10:00,.8,89
165,格器,2021-01-02 11:00,1.1,75
165,格器,2021-01-02 12:00,1.6,61
165,格器,2021-01-02 13:00,1.4,56
165,格器,2021-01-02 14:00,1.2,52
165,格器,2021-01-02 15:00,1.5,51
165,格器,2021-01-02 16:00,1.5,52
165,格器,2021-01-02 17:00,1.1,52
165,格器,2021-01-02 18:00,.3,61
165,格器,2021-01-02 19:00,-.8,61
165,格器,2021-01-02 20:00,-1,63
165,格器,2021-01-02 21:00,-1.2,60
165,格器,2021-01-02 22:00,-1.6,64
165,格器,2021-01-02 23:00,-1.9,66
165,格器,2021-01-03 00:00,-1.9,64
165,格器,2021-01-03 01:00,-1.8,62
165,格器,2021-01-03 02:00,-1.8,63
165,格器,2021-01-03 03:00,-1.8,63
165,格器,2021-01-03 04:00,-1.8,63
165,格器,2021-01-03 05:00,-1.8,64
165,格器,2021-01-03 06:00,-1.8,64
165,格器,2021-01-03 07:00,-2.3,63
165,格器,2021-01-03 08:00,-2.6,61
165,格器,2021-01-03 09:00,-2.1,58
165,格器,2021-01-03 10:00,-.9,50
165,格器,2021-01-03 11:00,.1,49
165,格器,2021-01-03 12:00,1.3,52
165,格器,2021-01-03 13:00,1.6,54
165,格器,2021-01-03 14:00,1.7,55
165,格器,2021-01-03 15:00,1.6,57
165,格器,2021-01-03 16:00,1.4,58
165,格器,2021-01-03 17:00,1.3,58
165,格器,2021-01-03 18:00,1.2,57
165,格器,2021-01-03 19:00,.8,61
165,格器,2021-01-03 20:00,.5,63
165,格器,2021-01-03 21:00,.1,65
165,格器,2021-01-03 22:00,-.1,64
165,格器,2021-01-03 23:00,-.5,72
165,格器,2021-01-04 00:00,-.7,67
165,格器,2021-01-04 01:00,-.9,70
165,格器,2021-01-04 02:00,-1.2,72
165,格器,2021-01-04 03:00,-1.4,75
165,格器,2021-01-04 04:00,-1.1,71
165,格器,2021-01-04 05:00,-1.7,68
165,格器,2021-01-04 06:00,-2.1,69
165,格器,2021-01-04 07:00,-1.5,66
165,格器,2021-01-04 08:00,-1.6,65
165,格器,2021-01-04 09:00,-.3,58
165,格器,2021-01-04 10:00,.9,47
165,格器,2021-01-04 11:00,3.4,40
165,格器,2021-01-04 12:00,4.9,39
165,格器,2021-01-04 13:00,6,42
165,格器,2021-01-04 14:00,7.1,41
165,格器,2021-01-04 15:00,6.9,45
165,格器,2021-01-04 16:00,7.5,43
165,格器,2021-01-04 17:00,6.3,50
165,格器,2021-01-04 18:00,5.1,61
165,格器,2021-01-04 19:00,4.3,63
165,格器,2021-01-04 20:00,3.9,67
165,格器,2021-01-04 21:00,3.7,68
165,格器,2021-01-04 22:00,3.5,67
165,格器,2021-01-04 23:00,3.1,74
165,格器,2021-01-05 00:00,3.4,73
165,格器,2021-01-05 01:00,3.6,69
165,格器,2021-01-05 02:00,3.4,72
165,格器,2021-01-05 03:00,3,80
