지점,지점명,일시,기온(°C),습도(%)
129,서산,2021-01-01 00:00,-6,91
129,서산,2021-01-01 01:00,-5.7,91
129,서산,2021-01-01 02:00,-6,92
129,서산,2021-01-01 03:00,-6.5,91
129,서산,2021-01-01 04:00,-8.3,90
129,서산,2021-01-01 05:00,-10.5,89
129,서산,2021-01-01 06:00,-8.9,90
129,서산,2021-01-01 07:00,-8,91
129,서산,2021-01-01 08:00,-6.5,89
129,서산,2021-01-01 09:00,-5.8,90
129,서산,2021-01-01 10:00,-4.7,90
129,서산,2021-01-01 11:00,-3.2,87
129,서산,2021-01-01 12:00,-2.8,87
129,서산,2021-01-01 13:00,-2.6,89
129,서산,2021-01-01 14:00,-1.5,88
129,서산,2021-01-01 15:00,-1.3,91
129,서산,2021-01-01 16:00,-1.3,93
129,서산,2021-01-01 17:00,-1.9,94
129,서산,2021-01-01 18:00,-1.6,95
129,서산,2021-01-01 19:00,-1.8,95
129,서산,2021-01-01 20:00,-4,94
129,서산,2021-01-01 21:00,-3.8,95
129,서산,2021-01-01 22:00,-5.9,95
129,서산,2021-01-01 23:00,-5.6,94
129,서산,2021-01-02 00:00,-5.2,94
129,서산,2021-01-02 01:00,-5.7,94
129,서산,2021-01-02 02:00,-5.9,94
129,서산,2021-01-02 03:00,-4.2,92
129,서산,2021-01-02 04:00,-5.5,81
129,서산,2021-01-02 05:00,-6.3,82
129,서산,2021-01-02 06:00,-7.1,82
129,서산,2021-01-02 07:00,-7.3,76
129,서산,2021-01-02 08:00,-10,84
129,서산,2021-01-02 09:00,-7.7,84
129,서산,2021-01-02 10:00,-4.1,58
129,서산,2021-01-02 11:00,-2.4,54
129,서산,2021-01-02 12:00,-.9,53
129,서산,2021-01-02 13:00,.1,52
129,서산,2021-01-02 14:00,-.3,44
129,서산,2021-01-02 15:00,0,52
129,서산,2021-01-02 16:00,-1.2,49
129,서산,2021-01-02 17:00,-1.9,55
129,서산,2021-01-02 18:00,-3.8,63
129,서산,2021-01-02 19:00,-4.5,67
129,서산,2021-01-02 20:00,-4.9,71
129,서산,2021-01-02 21:00,-7,79
129,서산,2021-01-02 22:00,-7.2,81
129,서산,2021-01-02 23:00,-6.3,78
129,서산,2021-01-03 00:00,-3.5,54
129,서산,2021-01-03 01:00,-4.5,58
129,서산,2021-01-03 02:00,-5.1,56
129,서산,2021-01-03 03:00,-5.7,55
129,서산,2021-01-03 04:00,-7.4,65
129,서산,2021-01-03 05:00,-7.3,64
129,서산,2021-01-03 06:00,-8.9,77
129,서산,2021-01-03 07:00,-9.3,80
129,서산,2021-01-03 08:00,-9.6,83
129,서산,2021-01-03 09:00,-7.5,74
129,서산,2021-01-03 10:00,-3.9,57
129,서산,2021-01-03 11:00,-1.7,51
129,서산,2021-01-03 12:00,-.7,52
129,서산,2021-01-03 13:00,-.6,53
129,서산,2021-01-03 14:00,-.6,53
129,서산,2021-01-03 15:00,-.6,55
129,서산,2021-01-03 16:00,-1.3,55
129,서산,2021-01-03 17:00,-1.8,56
129,서산,2021-01-03 18:00,-2.8,59
129,서산,2021-01-03 19:00,-2.9,57
129,서산,2021-01-03 20:00,-3.7,62
129,서산,2021-01-03 21:00,-3.3,62
129,서산,2021-01-03 22:00,-5.9,72
