瘤痢,瘤痢疙,老矫,扁柯(∑C),嚼档(%)
127,面林,2021-01-01 00:00,-7.9,73
127,面林,2021-01-01 01:00,-9.2,76
127,面林,2021-01-01 02:00,-10.6,81
127,面林,2021-01-01 03:00,-10.7,83
127,面林,2021-01-01 04:00,-11,82
127,面林,2021-01-01 05:00,-11.7,82
127,面林,2021-01-01 06:00,-12,85
127,面林,2021-01-01 07:00,-12.9,83
127,面林,2021-01-01 08:00,-11.3,83
127,面林,2021-01-01 09:00,-9.9,84
127,面林,2021-01-01 10:00,-7.9,75
127,面林,2021-01-01 11:00,-5.2,60
127,面林,2021-01-01 12:00,-3.7,55
127,面林,2021-01-01 13:00,-2.7,59
127,面林,2021-01-01 14:00,-1.2,56
127,面林,2021-01-01 15:00,-.9,61
127,面林,2021-01-01 16:00,-1.5,70
127,面林,2021-01-01 17:00,-1.5,67
127,面林,2021-01-01 18:00,-2.3,70
127,面林,2021-01-01 19:00,-3.1,76
127,面林,2021-01-01 20:00,-2.7,76
127,面林,2021-01-01 21:00,-2.5,76
127,面林,2021-01-01 22:00,-3,81
127,面林,2021-01-01 23:00,-3.1,81
127,面林,2021-01-02 00:00,-5.7,86
127,面林,2021-01-02 01:00,-7,88
127,面林,2021-01-02 02:00,-7.6,87
127,面林,2021-01-02 03:00,-8.2,88
127,面林,2021-01-02 04:00,-7.9,88
127,面林,2021-01-02 05:00,-8.7,89
127,面林,2021-01-02 06:00,-9.2,88
127,面林,2021-01-02 07:00,-10.2,83
127,面林,2021-01-02 08:00,-10.5,83
127,面林,2021-01-02 09:00,-9.4,81
127,面林,2021-01-02 10:00,-5.1,50
127,面林,2021-01-02 11:00,-3.9,38
127,面林,2021-01-02 12:00,-2.1,31
127,面林,2021-01-02 13:00,-1.9,27
127,面林,2021-01-02 14:00,-1,27
127,面林,2021-01-02 15:00,-.9,30
127,面林,2021-01-02 16:00,-.9,28
127,面林,2021-01-02 17:00,-1.8,30
127,面林,2021-01-02 18:00,-3,38
127,面林,2021-01-02 19:00,-3.8,42
127,面林,2021-01-02 20:00,-4.6,47
127,面林,2021-01-02 21:00,-6.3,54
127,面林,2021-01-02 22:00,-7.8,63
127,面林,2021-01-02 23:00,-9.2,70
127,面林,2021-01-03 00:00,-9.6,71
127,面林,2021-01-03 01:00,-10.2,71
127,面林,2021-01-03 02:00,-10.4,74
127,面林,2021-01-03 03:00,-10.7,76
127,面林,2021-01-03 04:00,-10,69
127,面林,2021-01-03 05:00,-11.1,71
127,面林,2021-01-03 06:00,-11.4,73
127,面林,2021-01-03 07:00,-11.8,71
127,面林,2021-01-03 08:00,-12.1,72
127,面林,2021-01-03 09:00,-10.7,68
127,面林,2021-01-03 10:00,-5.8,48
127,面林,2021-01-03 11:00,-4.5,38
127,面林,2021-01-03 12:00,-3.6,36
127,面林,2021-01-03 13:00,-2.8,35
127,面林,2021-01-03 14:00,-1.8,34
127,面林,2021-01-03 15:00,-1.3,36
127,面林,2021-01-03 16:00,-1.7,38
127,面林,2021-01-03 17:00,-1.8,37
127,面林,2021-01-03 18:00,-2.3,42
127,面林,2021-01-03 19:00,-3,46
127,面林,2021-01-03 20:00,-3.6,48
127,面林,2021-01-03 21:00,-4,50
127,面林,2021-01-03 22:00,-6.4,63
127,面林,2021-01-03 23:00,-7.7,68
127,面林,2021-01-04 00:00,-8,69
127,面林,2021-01-04 01:00,-9.2,71
127,面林,2021-01-04 02:00,-9.4,75
127,面林,2021-01-04 03:00,-10.4,78
127,面林,2021-01-04 04:00,-11.2,78
127,面林,2021-01-04 05:00,-11.4,79
127,面林,2021-01-04 06:00,-11.7,82
127,面林,2021-01-04 07:00,-11.3,82
127,面林,2021-01-04 08:00,-11.9,84
127,面林,2021-01-04 09:00,-10.3,84
127,面林,2021-01-04 10:00,-7.8,75
127,面林,2021-01-04 11:00,-5.4,67
127,面林,2021-01-04 12:00,-3.5,44
127,面林,2021-01-04 13:00,-1.8,36
127,面林,2021-01-04 14:00,-.6,30
127,面林,2021-01-04 15:00,.8,23
127,面林,2021-01-04 16:00,1.2,24
127,面林,2021-01-04 17:00,0,37
127,面林,2021-01-04 18:00,-.3,33
127,面林,2021-01-04 19:00,-1.6,48
127,面林,2021-01-04 20:00,-2.8,55
127,面林,2021-01-04 21:00,-3,57
127,面林,2021-01-04 22:00,-2.3,58
127,面林,2021-01-04 23:00,-2.3,59
127,面林,2021-01-05 00:00,-1.8,59
127,面林,2021-01-05 01:00,-1.7,55
127,面林,2021-01-05 02:00,-2.3,70
127,面林,2021-01-05 03:00,-2.3,73
127,面林,2021-01-05 04:00,-2,72
127,面林,2021-01-05 05:00,-2.3,70
127,面林,2021-01-05 06:00,-2.3,71
127,面林,2021-01-05 07:00,-3.4,73
127,面林,2021-01-05 08:00,-3.5,75
127,面林,2021-01-05 09:00,-3.2,70
127,面林,2021-01-05 10:00,-3,56
127,面林,2021-01-05 11:00,-2.5,40
127,面林,2021-01-05 12:00,-2.3,34
127,面林,2021-01-05 13:00,-1.6,24
127,面林,2021-01-05 14:00,-1.5,23
127,面林,2021-01-05 15:00,-1.2,24
127,面林,2021-01-05 16:00,-1.8,24
127,面林,2021-01-05 17:00,-3.2,28
127,面林,2021-01-05 18:00,-4.6,38
127,面林,2021-01-05 19:00,-5.5,41
127,面林,2021-01-05 20:00,-6.2,43
127,面林,2021-01-05 21:00,-7.1,46
127,面林,2021-01-05 22:00,-9.7,58
127,面林,2021-01-05 23:00,-10,61
127,面林,2021-01-06 00:00,-11,68
127,面林,2021-01-06 01:00,-12.1,70
127,面林,2021-01-06 02:00,-12.7,70
127,面林,2021-01-06 03:00,-12.7,69
127,面林,2021-01-06 04:00,-12.9,70
127,面林,2021-01-06 05:00,-13.7,72
