date,실제 값,변수전체(전체평균제외)
2021-12-01,77227183,49179631.35
2021-12-02,41526737,49440393.33
2021-12-03,69351467,67805983.45
2021-12-04,51247399,51339158.25
2021-12-05,68906456,59542172.12
2021-12-06,49715939,84975747.23
2021-12-07,35673851,63859275.84
2021-12-08,35659274,57613521.9
2021-12-09,48255147,66366790.73
2021-12-10,56768085,69804734.91
2021-12-11,69334618,53130408.75
2021-12-12,77053697,65451826.11
2021-12-13,57768387,32191380
2021-12-14,38486391,43648667.96
2021-12-15,31766615,58002238.76
2021-12-16,46015054,65878777.18
2021-12-17,51296762,54629847.75
2021-12-18,58203621,29794290.61
2021-12-19,54939758,52984975.84
2021-12-20,41869454,64159510.6
2021-12-21,51830618,76715095.12
2021-12-22,48838343,38710485.49
2021-12-23,40257093,34987882.68
2021-12-24,44660225,29855608.32
2021-12-25,71313940,-4413037.084
2021-12-26,67554989,8481750.35
2021-12-27,48002138,15420928.58
2021-12-28,38070210,50587192.59
2021-12-29,52093193,40434070.83
2021-12-30,47463341,62361685.36
2021-12-31,66341333,35554994.72
RMSE,,25502394.37
