date,변수 X, count,temp &  s,temp,s,temp &  s & count,,date,count,변수 X
"SARIMA (0, 0, 0) (1, 1, 1, 24)",,,,,,,,2022-01-01 0:00,1124679,1107940.606
RMSE,2061582.836,1946247.613,2071132.48,2071470.485,2061624.719,1959617.044,,2022-01-01 1:00,517331.0714,500067.7517
예측값,,,,,,,,2022-01-01 2:00,249822.5543,230706.7573
2021-12-01 0:00,1508137.619,1202731.604,1508137.619,1552237.141,1500858.743,1298966.266,,2022-01-01 3:00,138165.3754,133253.8811
2021-12-01 1:00,597657.7074,602088.7981,597657.7074,642113.9406,588965.3648,701215.3562,,2022-01-01 4:00,101254.1669,117072.8389
2021-12-01 2:00,279210.7095,306224.8999,279210.7095,327183.5123,269323.3482,411249.8771,,2022-01-01 5:00,146234.3149,143884.8825
2021-12-01 3:00,229445.69,204412.6616,229445.69,280173.4946,218650.836,315027.2866,,2022-01-01 6:00,293868.7433,306658.7638
2021-12-01 4:00,108603.1755,29377.57766,108603.1755,160431.4285,97381.49744,142896.4347,,2022-01-01 7:00,572902.4969,527790.9257
2021-12-01 5:00,135153.3262,234249.741,135153.3262,186936.969,123793.6374,350806.8293,,2022-01-01 8:00,1139559.999,1182792.127
2021-12-01 6:00,328481.8366,81881.15836,328481.8366,386075.3371,316771.4436,203518.0478,,2022-01-01 9:00,1480406.759,1414213.097
2021-12-01 7:00,622471.913,334917.9735,622471.913,680035.8862,610622.4023,461479.9323,,2022-01-01 10:00,2434228.28,2344616.984
2021-12-01 8:00,1125959.987,1221784.971,1125959.987,1187247.852,1114615.45,1348994.871,,2022-01-01 11:00,4152655.129,4252129.078
2021-12-01 9:00,1678764.809,2188450.367,1678764.809,1731722.473,1668605.951,2313616.143,,2022-01-01 12:00,3744831.826,3377147.229
2021-12-01 10:00,2581895.947,3173342.807,2581895.947,2642124.239,2572184.107,3309344.169,,2022-01-01 13:00,4456228.52,4497980.718
2021-12-01 11:00,4536350.647,4331986.965,4536350.647,4604933.717,4526755.029,4472041.011,,2022-01-01 14:00,4541212.629,4019282.694
2021-12-01 12:00,3843257.528,4696091.86,3843257.528,3881319.751,3836549.289,4818589.061,,2022-01-01 15:00,4752146.66,4757877.364
2021-12-01 13:00,4383827.125,5211275.567,4383827.125,4472446.194,4374973.377,5357377.929,,2022-01-01 16:00,4955718.769,4627807.669
2021-12-01 14:00,4304416.04,3732057.147,4304416.04,4358078.744,4297562.971,3871959.603,,2022-01-01 17:00,5321377.314,4694361.308
2021-12-01 15:00,4945957.807,3674852.84,4945957.807,5072263.678,4935512.128,3837771.86,,2022-01-01 18:00,4792737.749,5023778.071
2021-12-01 16:00,5061711.152,5065950.201,5061711.152,5129455.073,5053730.894,5212175.426,,2022-01-01 19:00,4021378.172,3671246.71
2021-12-01 17:00,5039369.709,5889608.343,5039369.709,5104499.659,5031090.612,6032807.349,,2022-01-01 20:00,2811963.687,2523560.365
2021-12-01 18:00,4860070.153,4308450.607,4860070.153,4953570.197,4849051.785,4463481.108,,2022-01-01 21:00,1837217.306,1932577.738
2021-12-01 19:00,5288413.77,5166750.256,5288413.77,5390252.069,5275425.871,5329562.566,,2022-01-01 22:00,1982354.027,1762584.28
2021-12-01 20:00,2625517.672,2725857.33,2625517.672,2685905.651,2615635.228,2859378.567,,2022-01-01 23:00,1762258.149,1767829.401
2021-12-01 21:00,2332921.496,1824051.609,2332921.496,2399909.359,2322255.317,1958779.766,,2022-01-02 0:00,1202603.032,1127772.963
2021-12-01 22:00,2098778.506,2177212.616,2098778.506,2165167.534,2088953.459,2312014.162,,2022-01-02 1:00,492646.7561,490163.8587
2021-12-01 23:00,2154089.172,2301692.272,2154089.172,2226748.334,2143523.702,2439552.42,,2022-01-02 2:00,233556.314,227351.3015
2021-12-02 0:00,1501812.606,1477115.196,1501812.606,1570696.31,1491426.458,1615535.846,,2022-01-02 3:00,155357.8598,142071.7487
2021-12-02 1:00,579065.9366,661591.9523,579065.9366,648811.869,569861.1749,793816.2938,,2022-01-02 4:00,113829.9313,124948.8247
2021-12-02 2:00,290551.6455,27927.06682,290551.6455,362036.0672,281126.2425,160239.3228,,2022-01-02 5:00,157185.4665,150379.5032
2021-12-02 3:00,205726.4195,191195.5419,205726.4195,280491.8527,197140.8786,323108.3265,,2022-01-02 6:00,289250.7062,297284.7421
