금액,이용횟수
2683380,72
499360,11
64176,10
885833,11
0,0
37630,1
586020,3
513600,17
342436,11
2795390,22
1335570,44
3438861,51
1835655,54
1605525,49
2055109,43
2268571,54
1754431,43
3125536,54
2149806,67
2150320,55
1781285,45
1612287,47
1031637,20
4657390,24
3933821,42
464604,12
1150382,10
108860,4
0,0
224790,3
148640,5
213026,9
548504,11
681654,18
1536436,30
7458042,57
3537285,67
2632252,49
5560151,60
3501278,62
5960033,70
4801929,76
6968309,88
5798281,54
1942877,45
2434784,39
1401053,32
1232681,29
2413366,47
1103790,14
367610,9
273480,5
0,0
85980,2
405040,2
157294,8
1108494,16
612475,17
1973068,35
3115788,42
1533012,45
15993276,58
2646430,55
3054704,45
4142726,73
3366482,86
2384590,56
2614295,63
2956340,67
2099566,43
2157661,48
2799946,42
2063855,35
795367,12
490920,12
364471,9
146380,3
109620,4
113379,4
877824,20
842843,19
2279324,38
23569328,40
9534757,74
5239006,96
8156939,54
5091125,69
7002330,62
3126092,67
4289815,66
2489404,75
2841433,68
6525375,55
2777780,58
3476087,49
3581945,52
1744437,37
684619,25
483800,7
29475,3
8010,1
238520,6
161810,4
417120,10
2277396,32
3010710,27
960322,24
1493062,45
2248993,62
3199180,75
1895207,29
3430475,43
2747637,48
2044923,64
2150486,62
1909079,49
2073347,52
1734059,43
1547242,38
926064,26
2029264,23
314025,7
236398,6
84026,2
44780,2
50680,1
100220,2
252122,12
763113,22
5919531,29
6762134,44
2600210,68
2517264,62
2030942,58
1543014,40
1618576,38
1200424,36
3804690,61
2572523,70
2662246,62
2606655,39
2299805,35
1200089,34
1255439,21
554444,16
646580,12
167316,5
283098,6
561314,8
542258,5
161146,6
544589,15
358440,12
958017,29
1187312,29
3018209,50
7600310,63
2018316,53
3336087,44
2414702,52
2223641,56
1784328,56
1738682,67
2003193,57
2131416,50
1567164,33
1857987,38
1800819,32
947080,19
742170,13
151410,3
189010,3
244520,3
0,0
86602,2
349970,12
863090,16
717104,22
2446658,38
2224777,57
5564042,83
4960864,65
8686963,65
3348074,73
5501228,55
6163026,70
4092800,78
2648136,67
2059319,56
1102706,36
1921156,30
1859089,35
1948019,24
282492,6
346820,8
0,0
167576,3
55860,2
65900,1
73350,8
568996,9
1244547,21
1923884,40
3667429,63
8857336,59
3883478,60
9535481,66
3870641,71
6230419,79
4108903,80
12643285,71
2165776,54
3102670,55
2558472,36
1880907,37
3102497,28
1437255,28
935842,17
121962,4
143040,2
75020,4
151330,5
12900,2
80390,10
195410,6
775416,23
1629073,39
2860058,36
2737729,64
2360632,72
2632177,69
3310249,68
3508500,51
4042966,55
8580000,56
3218247,44
5544863,47
2344824,40
1542797,34
1524831,26
1345762,20
1644550,20
225030,8
97280,4
129170,3
188300,4
531320,6
510962,12
863328,23
862379,25
662493,29
2465090,53
1794776,67
1525778,52
1520290,43
3330699,80
2173238,55
2146796,59
2953988,60
2201572,48
4249713,57
2914627,44
1282287,32
677160,24
1320893,21
625768,9
169315,5
89510,2
38740,2
74330,1
171510,6
285410,11
1256459,25
22555481,33
1736175,45
2538675,51
2546224,72
2625540,59
1663146,43
2956133,51
2243506,52
2344821,58
3491117,74
2572883,57
1416512,53
1649649,40
655545,25
2314166,29
1345982,23
729754,12
180250,3
88272,2
63800,2
272750,4
18910,1
323106,13
522330,23
2108538,38
6756807,39
6511205,66
1988358,66
6830200,68
2678960,62
2352420,58
4645463,59
3777479,58
3461900,72
2988867,60
2296870,47
3642318,41
1306780,35
2277751,34
1335238,20
326750,4
81300,3
79873,3
161790,4
32170,1
448260,4
390430,21
496979,17
1831650,26
3301149,45
2851013,58
2876164,72
3857224,68
3045666,47
1810488,43
2960304,52
1980234,60
2443496,78
1422040,47
1297693,37
1214954,33
2447748,37
1112987,16
555753,8
683024,16
149930,5
125640,3
2100,1
209160,4
388330,3
714600,14
649230,22
2473741,26
2121068,48
2105221,54
8704795,82
2776465,50
1463250,45
3057112,62
1840147,49
3473756,61
1590011,56
2686515,66
2225272,64
2168997,47
1676479,24
1808160,32
518763,10
