date,time,day_time,price,count_days
2021-01-01,0,2021-01-01 0:00,2683380,72
2021-01-01,1,2021-01-01 1:00,499360,11
2021-01-01,2,2021-01-01 2:00,64176,10
2021-01-01,3,2021-01-01 3:00,885833,11
2021-01-01,5,2021-01-01 5:00,37630,1
2021-01-01,6,2021-01-01 6:00,586020,3
2021-01-01,7,2021-01-01 7:00,513600,17
2021-01-01,8,2021-01-01 8:00,342436,11
2021-01-01,9,2021-01-01 9:00,2795390,22
2021-01-01,10,2021-01-01 10:00,1335570,44
2021-01-01,11,2021-01-01 11:00,3438861,51
2021-01-01,12,2021-01-01 12:00,1835655,54
2021-01-01,13,2021-01-01 13:00,1605525,49
2021-01-01,14,2021-01-01 14:00,2055109,43
2021-01-01,15,2021-01-01 15:00,2268571,54
2021-01-01,16,2021-01-01 16:00,1754431,43
2021-01-01,17,2021-01-01 17:00,3125536,54
2021-01-01,18,2021-01-01 18:00,2149806,67
2021-01-01,19,2021-01-01 19:00,2150320,55
2021-01-01,20,2021-01-01 20:00,1781285,45
2021-01-01,21,2021-01-01 21:00,1612287,47
2021-01-01,22,2021-01-01 22:00,1031637,20
2021-01-01,23,2021-01-01 23:00,4657390,24
2021-01-02,0,2021-01-02 0:00,3933821,42
2021-01-02,1,2021-01-02 1:00,464604,12
2021-01-02,2,2021-01-02 2:00,1150382,10
2021-01-02,3,2021-01-02 3:00,108860,4
2021-01-02,5,2021-01-02 5:00,224790,3
2021-01-02,6,2021-01-02 6:00,148640,5
2021-01-02,7,2021-01-02 7:00,213026,9
2021-01-02,8,2021-01-02 8:00,548504,11
2021-01-02,9,2021-01-02 9:00,681654,18
2021-01-02,10,2021-01-02 10:00,1536436,30
2021-01-02,11,2021-01-02 11:00,7458042,57
2021-01-02,12,2021-01-02 12:00,3537285,67
2021-01-02,13,2021-01-02 13:00,2632252,49
2021-01-02,14,2021-01-02 14:00,5560151,60
2021-01-02,15,2021-01-02 15:00,3501278,62
2021-01-02,16,2021-01-02 16:00,5960033,70
2021-01-02,17,2021-01-02 17:00,4801929,76
2021-01-02,18,2021-01-02 18:00,6968309,88
2021-01-02,19,2021-01-02 19:00,5798281,54
2021-01-02,20,2021-01-02 20:00,1942877,45
2021-01-02,21,2021-01-02 21:00,2434784,39
2021-01-02,22,2021-01-02 22:00,1401053,32
2021-01-02,23,2021-01-02 23:00,1232681,29
2021-01-03,0,2021-01-03 0:00,2413366,47
2021-01-03,1,2021-01-03 1:00,1103790,14
2021-01-03,2,2021-01-03 2:00,367610,9
2021-01-03,3,2021-01-03 3:00,273480,5
2021-01-03,5,2021-01-03 5:00,85980,2
2021-01-03,6,2021-01-03 6:00,405040,2
2021-01-03,7,2021-01-03 7:00,157294,8
2021-01-03,8,2021-01-03 8:00,1108494,16
2021-01-03,9,2021-01-03 9:00,612475,17
2021-01-03,10,2021-01-03 10:00,1973068,35
2021-01-03,11,2021-01-03 11:00,3115788,42
2021-01-03,12,2021-01-03 12:00,1533012,45
2021-01-03,13,2021-01-03 13:00,15993276,58
2021-01-03,14,2021-01-03 14:00,2646430,55
2021-01-03,15,2021-01-03 15:00,3054704,45
2021-01-03,16,2021-01-03 16:00,4142726,73
2021-01-03,17,2021-01-03 17:00,3366482,86
2021-01-03,18,2021-01-03 18:00,2384590,56
2021-01-03,19,2021-01-03 19:00,2614295,63
2021-01-03,20,2021-01-03 20:00,2956340,67
2021-01-03,21,2021-01-03 21:00,2099566,43
2021-01-03,22,2021-01-03 22:00,2157661,48
2021-01-03,23,2021-01-03 23:00,2799946,42
2021-01-04,0,2021-01-04 0:00,2063855,35
2021-01-04,1,2021-01-04 1:00,795367,12
2021-01-04,2,2021-01-04 2:00,490920,12
2021-01-04,3,2021-01-04 3:00,364471,9
2021-01-04,4,2021-01-04 4:00,146380,3
2021-01-04,5,2021-01-04 5:00,109620,4
2021-01-04,6,2021-01-04 6:00,113379,4
2021-01-04,7,2021-01-04 7:00,877824,20
2021-01-04,8,2021-01-04 8:00,842843,19
2021-01-04,9,2021-01-04 9:00,2279324,38
2021-01-04,10,2021-01-04 10:00,23569328,40
2021-01-04,11,2021-01-04 11:00,9534757,74
2021-01-04,12,2021-01-04 12:00,5239006,96
2021-01-04,13,2021-01-04 13:00,8156939,54
2021-01-04,14,2021-01-04 14:00,5091125,69
2021-01-04,15,2021-01-04 15:00,7002330,62
2021-01-04,16,2021-01-04 16:00,3126092,67
2021-01-04,17,2021-01-04 17:00,4289815,66
2021-01-04,18,2021-01-04 18:00,2489404,75
2021-01-04,19,2021-01-04 19:00,2841433,68
2021-01-04,20,2021-01-04 20:00,6525375,55
2021-01-04,21,2021-01-04 21:00,2777780,58
2021-01-04,22,2021-01-04 22:00,3476087,49
2021-01-04,23,2021-01-04 23:00,3581945,52
2021-01-05,0,2021-01-05 0:00,1744437,37
2021-01-05,1,2021-01-05 1:00,684619,25
2021-01-05,2,2021-01-05 2:00,483800,7
2021-01-05,3,2021-01-05 3:00,29475,3
2021-01-05,4,2021-01-05 4:00,8010,1
2021-01-05,5,2021-01-05 5:00,238520,6
2021-01-05,6,2021-01-05 6:00,161810,4
2021-01-05,7,2021-01-05 7:00,417120,10
2021-01-05,8,2021-01-05 8:00,2277396,32
2021-01-05,9,2021-01-05 9:00,3010710,27
2021-01-05,10,2021-01-05 10:00,960322,24
2021-01-05,11,2021-01-05 11:00,1493062,45
2021-01-05,12,2021-01-05 12:00,2248993,62
2021-01-05,13,2021-01-05 13:00,3199180,75
2021-01-05,14,2021-01-05 14:00,1895207,29
2021-01-05,15,2021-01-05 15:00,3430475,43
2021-01-05,16,2021-01-05 16:00,2747637,48
2021-01-05,17,2021-01-05 17:00,2044923,64
2021-01-05,18,2021-01-05 18:00,2150486,62
2021-01-05,19,2021-01-05 19:00,1909079,49
2021-01-05,20,2021-01-05 20:00,2073347,52
2021-01-05,21,2021-01-05 21:00,1734059,43
2021-01-05,22,2021-01-05 22:00,1547242,38
2021-01-05,23,2021-01-05 23:00,926064,26
2021-01-06,0,2021-01-06 0:00,2029264,23
2021-01-06,1,2021-01-06 1:00,314025,7
2021-01-06,2,2021-01-06 2:00,236398,6
2021-01-06,3,2021-01-06 3:00,84026,2
2021-01-06,4,2021-01-06 4:00,44780,2
2021-01-06,5,2021-01-06 5:00,50680,1
2021-01-06,6,2021-01-06 6:00,100220,2
2021-01-06,7,2021-01-06 7:00,252122,12
2021-01-06,8,2021-01-06 8:00,763113,22
2021-01-06,9,2021-01-06 9:00,5919531,29
2021-01-06,10,2021-01-06 10:00,6762134,44
2021-01-06,11,2021-01-06 11:00,2600210,68
2021-01-06,12,2021-01-06 12:00,2517264,62
2021-01-06,13,2021-01-06 13:00,2030942,58
2021-01-06,14,2021-01-06 14:00,1543014,40
2021-01-06,15,2021-01-06 15:00,1618576,38
2021-01-06,16,2021-01-06 16:00,1200424,36
2021-01-06,17,2021-01-06 17:00,3804690,61
2021-01-06,18,2021-01-06 18:00,2572523,70
2021-01-06,19,2021-01-06 19:00,2662246,62
2021-01-06,20,2021-01-06 20:00,2606655,39
2021-01-06,21,2021-01-06 21:00,2299805,35
2021-01-06,22,2021-01-06 22:00,1200089,34
2021-01-06,23,2021-01-06 23:00,1255439,21
2021-01-07,0,2021-01-07 0:00,554444,16
2021-01-07,1,2021-01-07 1:00,646580,12
2021-01-07,2,2021-01-07 2:00,167316,5
2021-01-07,3,2021-01-07 3:00,283098,6
2021-01-07,4,2021-01-07 4:00,561314,8
2021-01-07,5,2021-01-07 5:00,542258,5
2021-01-07,6,2021-01-07 6:00,161146,6
2021-01-07,7,2021-01-07 7:00,544589,15
2021-01-07,8,2021-01-07 8:00,358440,12
2021-01-07,9,2021-01-07 9:00,958017,29
2021-01-07,10,2021-01-07 10:00,1187312,29
2021-01-07,11,2021-01-07 11:00,3018209,50
2021-01-07,12,2021-01-07 12:00,7600310,63
2021-01-07,13,2021-01-07 13:00,2018316,53
2021-01-07,14,2021-01-07 14:00,3336087,44
2021-01-07,15,2021-01-07 15:00,2414702,52
2021-01-07,16,2021-01-07 16:00,2223641,56
2021-01-07,17,2021-01-07 17:00,1784328,56
2021-01-07,18,2021-01-07 18:00,1738682,67
2021-01-07,19,2021-01-07 19:00,2003193,57
2021-01-07,20,2021-01-07 20:00,2131416,50
2021-01-07,21,2021-01-07 21:00,1567164,33
2021-01-07,22,2021-01-07 22:00,1857987,38
2021-01-07,23,2021-01-07 23:00,1800819,32
2021-01-08,0,2021-01-08 0:00,947080,19
2021-01-08,1,2021-01-08 1:00,742170,13
2021-01-08,2,2021-01-08 2:00,151410,3
2021-01-08,3,2021-01-08 3:00,189010,3
2021-01-08,4,2021-01-08 4:00,244520,3
2021-01-08,6,2021-01-08 6:00,86602,2
2021-01-08,7,2021-01-08 7:00,349970,12
2021-01-08,8,2021-01-08 8:00,863090,16
2021-01-08,9,2021-01-08 9:00,717104,22
2021-01-08,10,2021-01-08 10:00,2446658,38
2021-01-08,11,2021-01-08 11:00,2224777,57
2021-01-08,12,2021-01-08 12:00,5564042,83
2021-01-08,13,2021-01-08 13:00,4960864,65
2021-01-08,14,2021-01-08 14:00,8686963,65
2021-01-08,15,2021-01-08 15:00,3348074,73
2021-01-08,16,2021-01-08 16:00,5501228,55
2021-01-08,17,2021-01-08 17:00,6163026,70
2021-01-08,18,2021-01-08 18:00,4092800,78
2021-01-08,19,2021-01-08 19:00,2648136,67
2021-01-08,20,2021-01-08 20:00,2059319,56
2021-01-08,21,2021-01-08 21:00,1102706,36
2021-01-08,22,2021-01-08 22:00,1921156,30
2021-01-08,23,2021-01-08 23:00,1859089,35
2021-01-09,0,2021-01-09 0:00,1948019,24
2021-01-09,1,2021-01-09 1:00,282492,6
2021-01-09,2,2021-01-09 2:00,346820,8
2021-01-09,4,2021-01-09 4:00,167576,3
2021-01-09,5,2021-01-09 5:00,55860,2
2021-01-09,6,2021-01-09 6:00,65900,1
2021-01-09,7,2021-01-09 7:00,73350,8
2021-01-09,8,2021-01-09 8:00,568996,9
2021-01-09,9,2021-01-09 9:00,1244547,21
2021-01-09,10,2021-01-09 10:00,1923884,40
2021-01-09,11,2021-01-09 11:00,3667429,63
2021-01-09,12,2021-01-09 12:00,8857336,59
2021-01-09,13,2021-01-09 13:00,3883478,60
2021-01-09,14,2021-01-09 14:00,9535481,66
2021-01-09,15,2021-01-09 15:00,3870641,71
2021-01-09,16,2021-01-09 16:00,6230419,79
2021-01-09,17,2021-01-09 17:00,4108903,80
2021-01-09,18,2021-01-09 18:00,12643285,71
2021-01-09,19,2021-01-09 19:00,2165776,54
2021-01-09,20,2021-01-09 20:00,3102670,55
2021-01-09,21,2021-01-09 21:00,2558472,36
2021-01-09,22,2021-01-09 22:00,1880907,37
2021-01-09,23,2021-01-09 23:00,3102497,28
2021-01-10,0,2021-01-10 0:00,1437255,28
2021-01-10,1,2021-01-10 1:00,935842,17
2021-01-10,2,2021-01-10 2:00,121962,4
2021-01-10,3,2021-01-10 3:00,143040,2
2021-01-10,4,2021-01-10 4:00,75020,4
2021-01-10,5,2021-01-10 5:00,151330,5
2021-01-10,6,2021-01-10 6:00,12900,2
2021-01-10,7,2021-01-10 7:00,80390,10
2021-01-10,8,2021-01-10 8:00,195410,6
2021-01-10,9,2021-01-10 9:00,775416,23
2021-01-10,10,2021-01-10 10:00,1629073,39
2021-01-10,11,2021-01-10 11:00,2860058,36
2021-01-10,12,2021-01-10 12:00,2737729,64
2021-01-10,13,2021-01-10 13:00,2360632,72
2021-01-10,14,2021-01-10 14:00,2632177,69
2021-01-10,15,2021-01-10 15:00,3310249,68
2021-01-10,16,2021-01-10 16:00,3508500,51
2021-01-10,17,2021-01-10 17:00,4042966,55
2021-01-10,18,2021-01-10 18:00,8580000,56
2021-01-10,19,2021-01-10 19:00,3218247,44
2021-01-10,20,2021-01-10 20:00,5544863,47
2021-01-10,21,2021-01-10 21:00,2344824,40
2021-01-10,22,2021-01-10 22:00,1542797,34
2021-01-10,23,2021-01-10 23:00,1524831,26
2021-01-11,0,2021-01-11 0:00,1345762,20
2021-01-11,1,2021-01-11 1:00,1644550,20
2021-01-11,2,2021-01-11 2:00,225030,8
2021-01-11,3,2021-01-11 3:00,97280,4
2021-01-11,4,2021-01-11 4:00,129170,3
2021-01-11,5,2021-01-11 5:00,188300,4
2021-01-11,6,2021-01-11 6:00,531320,6
2021-01-11,7,2021-01-11 7:00,510962,12
2021-01-11,8,2021-01-11 8:00,863328,23
2021-01-11,9,2021-01-11 9:00,862379,25
2021-01-11,10,2021-01-11 10:00,662493,29
2021-01-11,11,2021-01-11 11:00,2465090,53
2021-01-11,12,2021-01-11 12:00,1794776,67
2021-01-11,13,2021-01-11 13:00,1525778,52
2021-01-11,14,2021-01-11 14:00,1520290,43
2021-01-11,15,2021-01-11 15:00,3330699,80
2021-01-11,16,2021-01-11 16:00,2173238,55
2021-01-11,17,2021-01-11 17:00,2146796,59
2021-01-11,18,2021-01-11 18:00,2953988,60
2021-01-11,19,2021-01-11 19:00,2201572,48
2021-01-11,20,2021-01-11 20:00,4249713,57
2021-01-11,21,2021-01-11 21:00,2914627,44
2021-01-11,22,2021-01-11 22:00,1282287,32
2021-01-11,23,2021-01-11 23:00,677160,24
2021-01-12,0,2021-01-12 0:00,1320893,21
2021-01-12,1,2021-01-12 1:00,625768,9
2021-01-12,2,2021-01-12 2:00,169315,5
2021-01-12,3,2021-01-12 3:00,89510,2
2021-01-12,4,2021-01-12 4:00,38740,2
2021-01-12,5,2021-01-12 5:00,74330,1
2021-01-12,6,2021-01-12 6:00,171510,6
2021-01-12,7,2021-01-12 7:00,285410,11
2021-01-12,8,2021-01-12 8:00,1256459,25
2021-01-12,9,2021-01-12 9:00,22555481,33
2021-01-12,10,2021-01-12 10:00,1736175,45
2021-01-12,11,2021-01-12 11:00,2538675,51
2021-01-12,12,2021-01-12 12:00,2546224,72
2021-01-12,13,2021-01-12 13:00,2625540,59
2021-01-12,14,2021-01-12 14:00,1663146,43
