,0
0,1
1,1
2,0
3,1
4,0
5,1
6,0
7,0
8,0
9,0
10,1
11,0
12,1
13,1
14,0
15,0
16,0
17,1
18,1
19,0
20,0
21,1
22,0
23,0
24,0
25,1
26,1
27,1
28,1
29,0
30,0
31,1
32,0
33,1
34,1
35,0
36,0
37,1
38,0
39,0
40,1
41,0
42,0
43,0
44,1
45,0
46,0
47,1
48,1
49,0
50,0
51,0
52,1
53,1
54,1
55,1
56,0
57,1
58,0
59,0
60,1
61,1
62,0
63,0
64,0
65,0
66,0
67,1
68,0
69,1
70,0
71,1
72,1
73,1
74,1
75,1
76,1
77,0
78,0
79,1
80,0
81,0
82,1
83,0
84,0
85,0
86,1
87,0
88,0
89,0
90,1
91,0
92,0
93,1
94,0
95,1
96,1
97,0
98,0
99,0
100,0
101,1
102,1
103,1
104,1
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,1
114,0
115,1
116,1
117,0
118,0
119,1
120,0
121,0
122,1
123,1
124,0
125,0
126,1
127,0
128,0
129,0
130,0
131,1
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,1
141,0
142,1
143,1
144,1
145,0
146,0
147,0
148,0
149,1
150,1
151,1
152,1
153,0
154,1
155,0
156,0
157,0
158,0
159,0
160,0
161,1
162,1
163,1
164,0
165,1
166,0
167,0
168,0
169,0
170,0
171,0
172,1
173,0
174,0
175,0
176,0
177,0
178,1
179,0
180,0
181,0
182,0
183,0
184,1
185,0
186,0
187,1
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,1
197,0
198,0
199,1
200,1
201,0
202,0
203,1
204,0
205,0
206,0
207,1
208,0
209,0
210,0
211,0
212,0
213,0
214,1
215,0
216,0
217,0
218,0
219,0
220,1
221,0
222,1
223,0
224,0
225,1
226,1
227,0
228,0
229,1
230,0
231,1
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,1
240,0
241,0
242,0
243,0
244,0
245,1
246,0
247,0
248,0
249,0
250,0
251,0
252,1
253,1
254,0
255,1
256,1
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,1
271,1
272,0
273,0
274,1
275,0
276,1
277,0
278,0
279,1
280,1
281,0
282,0
283,1
284,0
285,0
286,0
287,0
288,0
289,1
290,1
291,0
292,0
293,1
294,1
295,0
296,1
297,0
298,1
299,0
300,0
301,0
302,1
303,0
304,1
305,0
306,0
307,0
308,0
309,0
310,1
311,1
312,0
313,0
314,1
315,0
316,0
317,1
318,0
319,1
320,1
321,1
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,1
333,0
334,1
335,0
336,0
337,0
338,1
339,1
340,0
341,1
342,0
343,1
344,1
345,0
346,0
347,0
348,0
349,1
350,0
351,0
352,1
353,1
354,1
355,1
356,1
357,0
358,1
359,0
360,0
361,0
362,0
363,0
364,0
365,1
366,1
367,0
368,1
369,0
370,1
371,1
372,0
373,0
374,0
375,1
376,0
377,1
378,1
379,0
380,1
381,1
382,0
383,1
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,1
394,1
395,0
396,1
397,0
398,1
399,1
400,0
401,0
402,1
403,1
404,0
405,0
406,1
407,1
408,0
409,0
410,1
411,1
412,0
413,0
414,1
415,0
416,0
417,0
418,0
419,0
420,0
421,1
422,1
423,0
424,0
425,0
426,0
427,1
428,1
429,0
430,1
431,0
432,0
433,0
434,0
435,0
436,1
437,1
438,1
439,1
440,0
441,0
442,0
443,0
444,1
445,0
446,0
447,1
448,0
449,1
450,1
451,1
452,0
453,0
454,0
455,1
456,1
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,1
465,0
466,1
467,1
468,1
469,1
470,1
471,1
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,1
480,1
481,0
482,0
483,1
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,1
498,0
499,0
500,1
501,0
502,1
503,1
504,1
505,0
506,0
507,0
508,1
509,0
510,0
511,0
512,1
513,0
514,0
515,1
516,0
517,0
518,0
519,1
520,1
521,0
522,0
523,1
524,0
525,1
526,0
527,1
528,0
529,0
530,0
531,1
532,0
533,0
534,0
535,1
536,1
537,0
538,1
539,0
540,1
541,0
542,1
543,1
544,1
545,0
546,1
547,1
548,0
549,0
550,0
551,0
552,0
553,1
554,0
555,1
556,0
557,1
558,0
559,1
560,1
561,0
562,0
563,0
564,1
565,0
566,0
567,0
568,1
569,0
570,1
571,1
572,0
573,0
574,0
575,0
576,1
577,1
578,0
579,1
580,1
581,0
582,0
583,0
584,1
585,1
586,1
587,0
588,0
589,1
590,0
591,1
592,0
593,1
594,0
595,0
596,0
597,1
598,0
599,0
600,0
601,0
602,0
603,0
604,1
605,0
606,0
607,0
608,0
609,1
610,1
611,0
612,1
613,0
614,0
615,1
616,1
617,1
618,1
619,0
620,0
621,0
622,0
623,0
624,0
625,0
626,1
627,0
628,0
629,0
630,0
631,1
632,1
633,0
634,0
635,1
636,1
637,0
638,1
639,0
640,1
641,1
642,1
643,1
644,0
645,0
646,0
647,1
648,1
649,0
650,0
651,0
652,0
653,0
654,0
655,0
656,0
657,0
658,0
659,0
660,1
661,1
662,0
663,0
664,0
665,0
666,0
667,1
668,0
669,0
670,0
671,0
672,0
673,1
674,0
675,1
676,0
677,0
678,0
679,1
680,0
681,0
682,0
683,0
684,1
685,1
686,0
687,1
688,1
689,0
690,0
691,1
692,0
693,0
694,0
695,0
696,0
697,0
698,0
699,0
700,0
701,0
702,1
703,1
704,0
705,0
706,1
707,0
708,0
709,1
710,0
711,0
712,0
713,0
714,0
715,0
716,0
717,0
718,1
719,0
720,0
721,1
722,1
723,0
724,1
725,0
726,0
727,1
728,0
729,1
730,0
731,0
732,0
733,1
734,1
735,0
736,1
737,0
738,0
739,0
740,1
741,0
742,0
743,1
744,0
745,0
746,0
747,0
748,1
749,0
750,0
751,0
752,0
753,1
754,0
755,0
756,0
757,0
758,0
759,0
760,0
761,1
762,0
763,0
764,1
765,1
766,1
767,1
768,0
769,0
770,0
771,1
772,0
773,0
774,0
775,0
776,1
777,0
778,0
779,0
780,0
781,0
782,1
783,1
784,0
785,1
786,0
787,0
788,1
789,0
790,0
791,0
792,1
793,1
794,0
795,0
796,0
797,0
798,0
799,0
800,1
801,1
802,0
803,0
804,0
805,0
806,0
807,0
808,0
809,0
810,0
811,0
812,0
