date,price
2021-01-01,39209808
2021-01-02,62239672
2021-01-03,57365413
2021-01-04,95785399
2021-01-05,37415973
2021-01-06,44468170
2021-01-07,39459368
2021-01-08,56869794
2021-01-09,72284738
2021-01-10,49765511
2021-01-11,36296588
2021-01-12,57341508
2021-01-13,57169070
2021-01-14,37805600
2021-01-15,43648756
2021-01-16,66914667
2021-01-17,57077853
2021-01-18,42374906
2021-01-19,36034657
2021-01-20,46327052
2021-01-21,35119518
2021-01-22,44171275
2021-01-23,76697664
2021-01-24,42528651
2021-01-25,41440112
2021-01-26,45657188
2021-01-27,44033877
2021-01-28,35722841
2021-01-29,54690668
2021-01-30,54036212
2021-01-31,67167306
2021-02-01,101983665
2021-02-02,49818026
2021-02-03,59451753
2021-02-04,42916427
2021-02-05,54737289
2021-02-06,73420761
2021-02-07,52226341
2021-02-08,45498504
2021-02-09,37570899
2021-02-10,67727441
2021-02-11,34184705
2021-02-12,18879140
2021-02-13,54912177
2021-02-14,48493143
2021-02-15,48639887
2021-02-16,44626473
2021-02-17,47523446
2021-02-18,32589911
2021-02-19,60209580
2021-02-20,104763193
2021-02-21,55007134
2021-02-22,36441701
2021-02-23,37512882
2021-02-24,40167030
2021-02-25,44574114
2021-02-26,37290545
2021-02-27,65813090
2021-02-28,51322380
2021-03-01,58128082
2021-03-02,49501661
2021-03-03,50881758
2021-03-04,58605823
2021-03-05,61498189
2021-03-06,76830027
2021-03-07,53891514
2021-03-08,61900897
2021-03-09,44220344
2021-03-10,36370138
2021-03-11,38506707
2021-03-12,61894153
2021-03-13,55172902
2021-03-14,69686253
2021-03-15,60064254
2021-03-16,60083319
2021-03-17,42663186
2021-03-18,79619188
2021-03-19,57010649
2021-03-20,85318858
2021-03-21,59817579
2021-03-22,30103834
2021-03-23,53743226
2021-03-24,43191898
2021-03-25,44774757
2021-03-26,53542659
2021-03-27,82497144
2021-03-28,54919738
2021-03-29,37972777
2021-03-30,47119171
2021-03-31,44013765
2021-04-01,52157857
2021-04-02,86954833
2021-04-03,66754863
2021-04-04,52783497
2021-04-05,60356294
2021-04-06,62239648
2021-04-07,44759095
2021-04-08,34247196
2021-04-09,85774079
2021-04-10,57388952
2021-04-11,67316334
2021-04-12,52341679
2021-04-13,35928876
2021-04-14,58694856
2021-04-15,41971980
2021-04-16,51483257
2021-04-17,72734895
2021-04-18,106492501
2021-04-19,54804431
2021-04-20,42975031
2021-04-21,43311883
2021-04-22,52230460
2021-04-23,64744206
2021-04-24,92817658
2021-04-25,67699569
2021-04-26,67130071
2021-04-27,47431981
2021-04-28,48893872
2021-04-29,54684736
2021-04-30,59930995
2021-05-01,95955534
2021-05-02,133160073
2021-05-03,74815829
2021-05-04,58158990
2021-05-05,113866045
2021-05-06,44412284
2021-05-07,113425695
2021-05-08,84461839
2021-05-09,89854886
2021-05-10,49322800
2021-05-11,53415779
2021-05-12,45462428
2021-05-13,43969665
2021-05-14,62749879
2021-05-15,74590989
2021-05-16,141792033
2021-05-17,71065334
2021-05-18,49391300
2021-05-19,77292639
2021-05-20,64020630
2021-05-21,61038380
2021-05-22,72547955
2021-05-23,65215304
2021-05-24,51080006
2021-05-25,54842052
2021-05-26,45187859
2021-05-27,53458669
2021-05-28,40076089
2021-05-29,55367900
2021-05-30,55409300
2021-05-31,52802004
2021-06-01,76786250
2021-06-02,45078630
2021-06-03,51016503
2021-06-04,93758897
2021-06-05,126983402
2021-06-06,133192611
2021-06-07,60757991
2021-06-08,39408491
2021-06-09,46307588
2021-06-10,38830055
2021-06-11,101705853
2021-06-12,71420052
2021-06-13,66544090
2021-06-14,41459051
2021-06-15,43515735
2021-06-16,59519208
2021-06-17,58853494
2021-06-18,74859568
2021-06-19,75456559
2021-06-20,89882644
2021-06-21,51466003
2021-06-22,57465403
2021-06-23,50295641
2021-06-24,47972965
2021-06-25,70434158
2021-06-26,82746870
2021-06-27,74756508
2021-06-28,41430968
2021-06-29,42049641
2021-06-30,43682814
2021-07-01,98317057
2021-07-02,116103542
2021-07-03,94781923
2021-07-04,84529995
2021-07-05,63057319
2021-07-06,40675911
2021-07-07,44818210
2021-07-08,55497885
2021-07-09,71563440
2021-07-10,68030957
2021-07-11,72514749
2021-07-12,48299522
2021-07-13,42055959
2021-07-14,61472837
2021-07-15,38766165
2021-07-16,53406477
2021-07-17,58761951
2021-07-18,51110089
2021-07-19,46703678
2021-07-20,37635099
2021-07-21,38190528
2021-07-22,38596958
2021-07-23,53847215
2021-07-24,59057212
2021-07-25,54862994
2021-07-26,44535275
2021-07-27,62220141
2021-07-28,39274357
2021-07-29,30601859
2021-07-30,57242734
2021-07-31,37023801
2021-08-01,76444726
2021-08-02,122074346
2021-08-03,36796937
2021-08-04,45742197
2021-08-05,36944077
2021-08-06,66980681
2021-08-07,69226371
2021-08-08,79809812
2021-08-09,52949237
2021-08-10,42402410
2021-08-11,40058661
2021-08-12,50277240
2021-08-13,93494749
2021-08-14,98305099
2021-08-15,83646516
2021-08-16,94182325
2021-08-17,40820820
2021-08-18,41282218
2021-08-19,35246384
2021-08-20,83139783
2021-08-21,113009467
2021-08-22,48325250
2021-08-23,54959824
2021-08-24,54003766
2021-08-25,42355909
2021-08-26,61587229
2021-08-27,64365902
2021-08-28,87936037
2021-08-29,63889473
2021-08-30,61848468
2021-08-31,49660734
2021-09-01,85804640
2021-09-02,43466952
2021-09-03,80212724
2021-09-04,92066295
2021-09-05,99909525
2021-09-06,95326799
2021-09-07,40461937
2021-09-08,67390239
2021-09-09,40072424
2021-09-10,94091139
2021-09-11,79703271
2021-09-12,71030594
2021-09-13,56873115
2021-09-14,81872679
2021-09-15,47097187
2021-09-16,37378634
2021-09-17,57310252
2021-09-18,63659862
2021-09-19,42392527
2021-09-20,21832588
2021-09-21,22482047
2021-09-22,57046384
2021-09-23,50251979
2021-09-24,69682872
2021-09-25,56467462
2021-09-26,52639997
2021-09-27,48590407
2021-09-28,34372515
2021-09-29,45280288
2021-09-30,36978540
2021-10-01,133701159
2021-10-02,59359451
2021-10-03,73010374
2021-10-04,67694946
2021-10-05,42764907
2021-10-06,38297858
2021-10-07,40181284
2021-10-08,50623797
2021-10-09,50646902
2021-10-10,40546278
2021-10-11,43776761
2021-10-12,36254322
2021-10-13,48988793
2021-10-14,50529942
2021-10-15,51995436
2021-10-16,67242373
2021-10-17,67708859
2021-10-18,62522903
2021-10-19,65634108
2021-10-20,51939082
2021-10-21,95357769
2021-10-22,61968946
2021-10-23,59920062
2021-10-24,78326599
2021-10-25,53542705
2021-10-26,42876386
2021-10-27,59039883
2021-10-28,47362157
2021-10-29,94691509
2021-10-30,54510226
2021-10-31,53996143
2021-11-01,72146819
2021-11-02,39110904
2021-11-03,40644668
2021-11-04,50792729
2021-11-05,136667144
2021-11-06,89109298
2021-11-07,103680562
2021-11-08,43785561
2021-11-09,50940321
2021-11-10,61213815
2021-11-11,65186972
2021-11-12,61060812
2021-11-13,58472448
2021-11-14,67896282
2021-11-15,64355146
2021-11-16,42932596
2021-11-17,43521976
2021-11-18,42289150
2021-11-19,61720762
2021-11-20,78474518
2021-11-21,55752641
2021-11-22,58880592
2021-11-23,56417590
2021-11-24,41134085
2021-11-25,40490568
2021-11-26,49831894
2021-11-27,69518627
2021-11-28,66978463
2021-11-29,52584210
2021-11-30,70739588
2021-12-01,77227183
2021-12-02,41526737
2021-12-03,69351467
2021-12-04,51247399
2021-12-05,68906456
2021-12-06,49715939
2021-12-07,35673851
2021-12-08,35659274
2021-12-09,48255147
2021-12-10,56768085
2021-12-11,69334618
2021-12-12,77053697
2021-12-13,57768387
2021-12-14,38486391
2021-12-15,31766615
2021-12-16,46015054
2021-12-17,51296762
2021-12-18,58203621
2021-12-19,54939758
2021-12-20,41869454
2021-12-21,51830618
2021-12-22,48838343
2021-12-23,40257093
2021-12-24,44660225
2021-12-25,71313940
2021-12-26,67554989
2021-12-27,48002138
2021-12-28,38070210
2021-12-29,52093193
2021-12-30,47463341
2021-12-31,66341333
