일자,소비 금액,이용 횟수,평균온도,평균습도
2021-01-01 0:00,37269.1667,72,-8.45,51.64285714
2021-01-01 1:00,45396.3636,11,-8.907142857,52
2021-01-01 2:00,6417.6,10,-9.528571429,55.07142857
2021-01-01 3:00,80530.2727,11,-10.17857143,56.5
2021-01-01 4:00,0,0,-10.57857143,57.57142857
2021-01-01 5:00,37630,1,-10.52857143,58.85714286
2021-01-01 6:00,195340,3,-10.5,57.64285714
2021-01-01 7:00,30211.7647,17,-10.74285714,58.64285714
2021-01-01 8:00,31130.5455,11,-10.65714286,61.28571429
2021-01-01 9:00,127063.1818,22,-9.121428571,59.71428571
2021-01-01 10:00,30353.8636,44,-6.664285714,52
2021-01-01 11:00,67428.6471,51,-4.442857143,45.78571429
2021-01-01 12:00,33993.6111,54,-2.435714286,41
2021-01-01 13:00,32765.8163,49,-0.971428571,36.28571429
2021-01-01 14:00,47793.2326,43,-0.271428571,36.07142857
2021-01-01 15:00,42010.5741,54,-0.085714286,36.14285714
2021-01-01 16:00,40800.7209,43,-0.678571429,37.71428571
2021-01-01 17:00,57880.2963,54,-1.571428571,41.57142857
2021-01-01 18:00,32086.6567,67,-2.542857143,46.64285714
2021-01-01 19:00,39096.7273,55,-3.442857143,52.21428571
2021-01-01 20:00,39584.1111,45,-3.357142857,54.78571429
2021-01-01 21:00,34303.9787,47,-3.671428571,55.71428571
2021-01-01 22:00,51581.85,20,-3.864285714,55.64285714
2021-01-01 23:00,194057.9167,24,-3.771428571,54.85714286
2021-01-02 0:00,93662.4048,42,-3.9,51.85714286
2021-01-02 1:00,38717,12,-4.314285714,53.14285714
2021-01-02 2:00,115038.2,10,-5.071428571,53.5
2021-01-02 3:00,27215,4,-5.45,51.5
2021-01-02 4:00,0,0,-6.328571429,53.71428571
2021-01-02 5:00,74930,3,-6.978571429,52
2021-01-02 6:00,29728,5,-7.728571429,52.21428571
2021-01-02 7:00,23669.5556,9,-8.335714286,52.85714286
2021-01-02 8:00,49864,11,-8.842857143,54
2021-01-02 9:00,37869.6667,18,-7.407142857,50.07142857
2021-01-02 10:00,51214.5333,30,-4.885714286,35.28571429
2021-01-02 11:00,130842.8421,57,-3.25,25.14285714
2021-01-02 12:00,52795.2985,67,-2.071428571,20.78571429
2021-01-02 13:00,53719.4286,49,-1.214285714,18.35714286
2021-01-02 14:00,92669.1833,60,-0.814285714,17.92857143
2021-01-02 15:00,56472.2258,62,-0.8,18.28571429
2021-01-02 16:00,85143.3286,70,-1.307142857,19.78571429
