date,temp,s
2021-01-01,-2.9,27.6
2021-01-02,-2.5,16.8
2021-01-03,-2.5,19.4
2021-01-04,-0.9,25.1
2021-01-05,-3.2,29.6
2021-01-06,-5.9,26.1
2021-01-07,-12.1,23.4
2021-01-08,-13,24.1
2021-01-09,-10.2,28.4
2021-01-10,-5.9,31.6
2021-01-11,-4.4,32.4
2021-01-12,-0.8,41.4
2021-01-13,5.7,41.4
2021-01-14,2.8,35.5
2021-01-15,3.2,68.1
2021-01-16,-0.2,35.3
2021-01-17,-3.9,29.6
2021-01-18,-2.6,42.3
2021-01-19,-6.1,44.3
2021-01-20,1,40.1
2021-01-21,6.4,65.4
2021-01-22,5,87.6
2021-01-23,1.8,91.5
2021-01-24,3.5,84.5
2021-01-25,4.1,91.8
2021-01-26,5.3,77.6
2021-01-27,3.3,38.4
2021-01-28,-0.5,34.4
2021-01-29,-6.4,21.5
2021-01-30,1.3,37.1
2021-01-31,2.8,50.9
2021-02-01,7.7,46.9
2021-02-02,-2.7,20.3
2021-02-03,-2.2,35.3
2021-02-04,0.1,28.9
2021-02-05,5.1,38.5
2021-02-06,8.7,47.8
2021-02-07,3.9,79.9
2021-02-08,-1.2,33.8
2021-02-09,1.7,28.4
2021-02-10,5.8,42.9
2021-02-11,6.1,53.8
2021-02-12,6.7,61
2021-02-13,4,79.8
2021-02-14,5.9,85.8
2021-02-15,3.1,56.3
2021-02-16,-2.9,24.1
2021-02-17,-7.5,28.8
2021-02-18,-4,31.5
2021-02-19,5.7,34.1
2021-02-20,12.7,30.9
2021-02-21,7.4,65.6
2021-02-22,4,81.1
2021-02-23,0.6,48.8
2021-02-24,1,48.8
2021-02-25,2.9,69.8
2021-02-26,4.5,73.3
2021-02-27,3.9,83
2021-02-28,6.1,72.9
2021-03-01,2,90.8
2021-03-02,-1.3,87.8
2021-03-03,2.1,68.8
2021-03-04,5.9,60.5
2021-03-05,9.5,59.1
2021-03-06,0.5,83.1
2021-03-07,1.7,85.3
2021-03-08,2.7,86.5
2021-03-09,8.1,60.8
2021-03-10,7.4,60.8
2021-03-11,10.6,54
2021-03-12,6.6,79.9
2021-03-13,6,65.9
2021-03-14,8,79.4
2021-03-15,10.6,63
2021-03-16,10.5,53.4
2021-03-17,7.3,61.3
2021-03-18,7.1,78.1
2021-03-19,7.4,81.9
2021-03-20,7.4,86.3
2021-03-21,7.3,53.1
2021-03-22,8.1,29.5
2021-03-23,12.8,22.6
2021-03-24,13.8,30.5
2021-03-25,14.3,41.5
2021-03-26,13.6,54.9
2021-03-27,9.1,86.6
2021-03-28,12.4,73.1
2021-03-29,13.8,34
2021-03-30,12.2,35.9
2021-03-31,11.1,67.1
2021-04-01,10,88.4
2021-04-02,11.3,83.4
2021-04-03,10.1,87
2021-04-04,7.5,66.1
2021-04-05,8.9,51.8
2021-04-06,14.1,48
2021-04-07,14.6,48.6
2021-04-08,11,60.6
2021-04-09,9.4,50.9
2021-04-10,9.4,60.6
2021-04-11,12.2,71.6
2021-04-12,11,85.4
2021-04-13,13.5,57.5
2021-04-14,10.7,44.6
2021-04-15,12.4,42.6
2021-04-16,14.5,39.4
2021-04-17,11.1,38
2021-04-18,12.1,45.1
2021-04-19,18.2,26.8
2021-04-20,16.8,46
2021-04-21,13.9,73
2021-04-22,13.9,85.3
2021-04-23,11.7,91.9
2021-04-24,12.9,77
2021-04-25,11.7,59.4
2021-04-26,11.7,64.8
2021-04-27,15.8,54.4
2021-04-28,18.2,31.6
2021-04-29,11.8,65.6
2021-04-30,9.9,86
2021-05-01,9.7,88.5
2021-05-02,13.4,58.9
2021-05-03,17.4,37.8
2021-05-04,16.2,57.6
2021-05-05,17,41.4
2021-05-06,19.1,35.5
2021-05-07,18.8,37
2021-05-08,18.7,34.8
2021-05-09,18.4,26.8
2021-05-10,16.2,41.3
