일자,소비 금액,이용 횟수
2021-01-01 0:00,37269.1667,72
2021-01-01 1:00,45396.3636,11
2021-01-01 2:00,6417.6,10
2021-01-01 3:00,80530.2727,11
2021-01-01 4:00,0,0
2021-01-01 5:00,37630,1
2021-01-01 6:00,195340,3
2021-01-01 7:00,30211.7647,17
2021-01-01 8:00,31130.5455,11
2021-01-01 9:00,127063.1818,22
2021-01-01 10:00,30353.8636,44
2021-01-01 11:00,67428.6471,51
2021-01-01 12:00,33993.6111,54
2021-01-01 13:00,32765.8163,49
2021-01-01 14:00,47793.2326,43
2021-01-01 15:00,42010.5741,54
2021-01-01 16:00,40800.7209,43
2021-01-01 17:00,57880.2963,54
2021-01-01 18:00,32086.6567,67
2021-01-01 19:00,39096.7273,55
2021-01-01 20:00,39584.1111,45
2021-01-01 21:00,34303.9787,47
2021-01-01 22:00,51581.85,20
2021-01-01 23:00,194057.9167,24
2021-01-02 0:00,93662.4048,42
2021-01-02 1:00,38717,12
2021-01-02 2:00,115038.2,10
2021-01-02 3:00,27215,4
2021-01-02 4:00,0,0
2021-01-02 5:00,74930,3
2021-01-02 6:00,29728,5
2021-01-02 7:00,23669.5556,9
2021-01-02 8:00,49864,11
2021-01-02 9:00,37869.6667,18
2021-01-02 10:00,51214.5333,30
2021-01-02 11:00,130842.8421,57
2021-01-02 12:00,52795.2985,67
2021-01-02 13:00,53719.4286,49
2021-01-02 14:00,92669.1833,60
2021-01-02 15:00,56472.2258,62
2021-01-02 16:00,85143.3286,70
2021-01-02 17:00,63183.2763,76
2021-01-02 18:00,79185.3295,88
2021-01-02 19:00,107375.5741,54
2021-01-02 20:00,43175.0444,45
2021-01-02 21:00,62430.359,39
2021-01-02 22:00,43782.9063,32
2021-01-02 23:00,42506.2414,29
2021-01-03 0:00,51348.2128,47
2021-01-03 1:00,78842.1429,14
2021-01-03 2:00,40845.5556,9
2021-01-03 3:00,54696,5
2021-01-03 4:00,0,0
2021-01-03 5:00,42990,2
2021-01-03 6:00,202520,2
2021-01-03 7:00,19661.75,8
2021-01-03 8:00,69280.875,16
2021-01-03 9:00,36027.9412,17
2021-01-03 10:00,56373.3714,35
2021-01-03 11:00,74185.4286,42
2021-01-03 12:00,34066.9333,45
2021-01-03 13:00,275746.1379,58
2021-01-03 14:00,48116.9091,55
2021-01-03 15:00,67882.3111,45
2021-01-03 16:00,56749.6712,73
2021-01-03 17:00,39145.1395,86
2021-01-03 18:00,42581.9643,56
2021-01-03 19:00,41496.746,63
2021-01-03 20:00,44124.4776,67
2021-01-03 21:00,48827.1163,43
2021-01-03 22:00,44951.2708,48
2021-01-03 23:00,66665.381,42
2021-01-04 0:00,58967.2857,35
2021-01-04 1:00,66280.5833,12
2021-01-04 2:00,40910,12
2021-01-04 3:00,40496.7778,9
2021-01-04 4:00,48793.3333,3
2021-01-04 5:00,27405,4
2021-01-04 6:00,28344.75,4
2021-01-04 7:00,43891.2,20
2021-01-04 8:00,44360.1579,19
2021-01-04 9:00,59982.2105,38
2021-01-04 10:00,589233.2,40
2021-01-04 11:00,128848.0676,74
2021-01-04 12:00,54572.9792,96
2021-01-04 13:00,151054.4259,54
2021-01-04 14:00,73784.4203,69
2021-01-04 15:00,112940.8065,62
2021-01-04 16:00,46658.0896,67
2021-01-04 17:00,64997.197,66
2021-01-04 18:00,33192.0533,75
2021-01-04 19:00,41785.7794,68
2021-01-04 20:00,118643.1818,55
2021-01-04 21:00,47892.7586,58
2021-01-04 22:00,70940.551,49
2021-01-04 23:00,68883.5577,52
2021-01-05 0:00,47146.9459,37
2021-01-05 1:00,27384.76,25
