일시,소비 금액,이용 횟수,평균 온도,평균 습도
2021-01-01 0:00,37269.1667,72,-4.855789474,69.57894737
2021-01-01 1:00,45396.3636,11,-5.383157895,70.53684211
2021-01-01 2:00,6417.6,10,-5.887368421,71.86315789
2021-01-01 3:00,80530.2727,11,-6.305263158,72.84210526
2021-01-01 4:00,0,0,-6.789473684,73.78947368
2021-01-01 5:00,37630,1,-7.075789474,74.86315789
2021-01-01 6:00,195340,3,-7.261052632,75.13684211
2021-01-01 7:00,30211.7647,17,-7.512631579,76.02105263
2021-01-01 8:00,31130.5455,11,-7.450526316,77.45263158
2021-01-01 9:00,127063.1818,22,-5.926315789,74.47368421
2021-01-01 10:00,30353.8636,44,-3.675789474,67.23157895
2021-01-01 11:00,67428.6471,51,-1.813684211,61.22105263
2021-01-01 12:00,33993.6111,54,-0.404210526,58
2021-01-01 13:00,32765.8163,49,0.578947368,56.04210526
2021-01-01 14:00,47793.2326,43,1.167368421,55.45263158
2021-01-01 15:00,42010.5741,54,1.401052632,56.22105263
2021-01-01 16:00,40800.7209,43,1.136842105,57
2021-01-01 17:00,57880.2963,54,0.56,60
2021-01-01 18:00,32086.6567,67,-0.152631579,63.82105263
2021-01-01 19:00,39096.7273,55,-0.729473684,67.68421053
2021-01-01 20:00,39584.1111,45,-0.981052632,69.91578947
2021-01-01 21:00,34303.9787,47,-1.241052632,71.48421053
2021-01-01 22:00,51581.85,20,-1.655789474,73.13684211
2021-01-01 23:00,194057.9167,24,-1.98,74.17894737
2021-01-02 0:00,93662.4048,42,-2.176842105,74.32631579
2021-01-02 1:00,38717,12,-2.495789474,74.68421053
2021-01-02 2:00,115038.2,10,-2.626315789,74.30526316
2021-01-02 3:00,27215,4,-2.758947368,73.86315789
2021-01-02 4:00,0,0,-3.057894737,74.73684211
2021-01-02 5:00,74930,3,-3.416842105,74.82105263
2021-01-02 6:00,29728,5,-3.773684211,74.78947368
2021-01-02 7:00,23669.5556,9,-4.262105263,74.56842105
2021-01-02 8:00,49864,11,-4.622105263,73.66315789
2021-01-02 9:00,37869.6667,18,-3.475789474,69.46315789
2021-01-02 10:00,51214.5333,30,-1.710526316,57.78947368
2021-01-02 11:00,130842.8421,57,-0.526315789,48.37894737
2021-01-02 12:00,52795.2985,67,0.365263158,42.44210526
2021-01-02 13:00,53719.4286,49,0.985263158,39.43157895
2021-01-02 14:00,92669.1833,60,1.278947368,37.56842105
2021-01-02 15:00,56472.2258,62,1.235789474,36.16842105
2021-01-02 16:00,85143.3286,70,0.801052632,35.68421053
2021-01-02 17:00,63183.2763,76,-0.236842105,37.78947368
2021-01-02 18:00,79185.3295,88,-1.204210526,40.65263158
2021-01-02 19:00,107375.5741,54,-2.031578947,44.13684211
2021-01-02 20:00,43175.0444,45,-2.714736842,47.48421053
2021-01-02 21:00,62430.359,39,-3.351578947,50.31578947
2021-01-02 22:00,43782.9063,32,-3.855789474,52.45263158
2021-01-02 23:00,42506.2414,29,-4.494736842,54.91578947
2021-01-03 0:00,51348.2128,47,-4.792631579,55.75789474
2021-01-03 1:00,78842.1429,14,-5.058947368,57.24210526
2021-01-03 2:00,40845.5556,9,-5.077894737,57.37894737
2021-01-03 3:00,54696,5,-5.214736842,57.75789474
2021-01-03 4:00,0,0,-5.355789474,57.77894737
2021-01-03 5:00,42990,2,-5.509473684,58.13684211
2021-01-03 6:00,202520,2,-5.588421053,57.67368421
2021-01-03 7:00,19661.75,8,-5.694736842,56.57894737
2021-01-03 8:00,69280.875,16,-5.978947368,56.77894737
2021-01-03 9:00,36027.9412,17,-4.935789474,53.18947368
2021-01-03 10:00,56373.3714,35,-2.855789474,45.41052632
2021-01-03 11:00,74185.4286,42,-1.314736842,40.10526316
2021-01-03 12:00,34066.9333,45,-0.136842105,37.77894737
2021-01-03 13:00,275746.1379,58,0.702105263,36.70526316
2021-01-03 14:00,48116.9091,55,0.946315789,37.10526316
2021-01-03 15:00,67882.3111,45,0.938947368,38.6
2021-01-03 16:00,56749.6712,73,0.553684211,40.52631579
2021-01-03 17:00,39145.1395,86,0.043157895,42.65263158
2021-01-03 18:00,42581.9643,56,-0.636842105,45.66315789
2021-01-03 19:00,41496.746,63,-1.230526316,48.82105263
2021-01-03 20:00,44124.4776,67,-1.837894737,52.33684211
2021-01-03 21:00,48827.1163,43,-2.433684211,55.22105263
2021-01-03 22:00,44951.2708,48,-2.975789474,57.58947368
2021-01-03 23:00,66665.381,42,-3.383157895,59.74736842
2021-01-04 0:00,58967.2857,35,-3.824210526,61.21052632
2021-01-04 1:00,66280.5833,12,-4.244210526,62.82105263
2021-01-04 2:00,40910,12,-4.711578947,64.54736842
2021-01-04 3:00,40496.7778,9,-5.144210526,66.14736842
2021-01-04 4:00,48793.3333,3,-5.581052632,67.51578947
2021-01-04 5:00,27405,4,-5.953684211,69.05263158
2021-01-04 6:00,28344.75,4,-6.218947368,69.96842105
2021-01-04 7:00,43891.2,20,-6.489473684,71.43157895
2021-01-04 8:00,44360.1579,19,-6.628421053,72.51578947
2021-01-04 9:00,59982.2105,38,-5.064210526,68.28421053
2021-01-04 10:00,589233.2,40,-2.505263158,58.01052632
2021-01-04 11:00,128848.0676,74,-0.290526316,48.91578947
2021-01-04 12:00,54572.9792,96,1.463157895,42.51578947
2021-01-04 13:00,151054.4259,54,2.736842105,39.70526316
2021-01-04 14:00,73784.4203,69,3.562105263,38.85263158
2021-01-04 15:00,112940.8065,62,3.855789474,39.65263158
2021-01-04 16:00,46658.0896,67,3.709473684,42.18947368
2021-01-04 17:00,64997.197,66,2.748421053,47.03157895
2021-01-04 18:00,33192.0533,75,1.215789474,54.06315789
2021-01-04 19:00,41785.7794,68,0.217894737,59.77894737
2021-01-04 20:00,118643.1818,55,-0.429473684,62.88421053
2021-01-04 21:00,47892.7586,58,-0.698947368,65.12631579
2021-01-04 22:00,70940.551,49,-0.834736842,68.42105263
2021-01-04 23:00,68883.5577,52,-0.893684211,70.92631579
2021-01-05 0:00,47146.9459,37,-0.850526316,73.05263158
2021-01-05 1:00,27384.76,25,-0.833684211,74.89473684
2021-01-05 2:00,69114.2857,7,-0.756842105,76.49473684
2021-01-05 3:00,9825,3,-0.736842105,77.61052632
2021-01-05 4:00,8010,1,-0.843157895,78.36842105
2021-01-05 5:00,39753.3333,6,-0.754736842,78.49473684
2021-01-05 6:00,40452.5,4,-0.777894737,76.51578947
2021-01-05 7:00,41712,10,-1.136842105,75.18947368
2021-01-05 8:00,71168.625,32,-1.337894737,72.51578947
2021-01-05 9:00,111507.7778,27,-0.612631579,65.62105263
2021-01-05 10:00,40013.4167,24,0.223157895,56.04210526
2021-01-05 11:00,33179.1556,45,0.744210526,48.83157895
2021-01-05 12:00,36274.0806,62,0.927368421,43.94736842
2021-01-05 13:00,42655.7333,75,0.854736842,41.05263158
2021-01-05 14:00,65351.9655,29,0.693684211,38.56842105
2021-01-05 15:00,79778.4884,43,0.370526316,37.33684211
2021-01-05 16:00,57242.4375,48,-0.196842105,36.91578947
2021-01-05 17:00,31951.9219,64,-1.178947368,37.49473684
2021-01-05 18:00,34685.2581,62,-2.142105263,40.10526316
2021-01-05 19:00,38960.7959,49,-2.904210526,42.43157895
2021-01-05 20:00,39872.0577,52,-3.613684211,44.8
2021-01-05 21:00,40326.9535,43,-4.371578947,47.24210526
